,link,header,article,author,date
0,/national/back-to-school-plan-gives-private-students-hsc-advantage-educators-warn-20200424-p54n2v.html,"Back-to-school plan gives private students HSC advantage, educators warn","The NSW government's back-to-school plan has created an unfair system for this year's HSC, with educators warning students at private schools will have twice as much face-to-face learning in term two as their public school counterparts. The HSC  exams will go ahead in 2020, the NSW Education Standards Authority confirmed on Friday, with the timetable to be confirmed in mid-May and the results to be released in mid-December. But if public schools follow the goverment's staged return model for year 12 - one day a week for four weeks from May 11, then two days for another four - their HSC candidates will have 12 days of face-to-face teaching in term two, while private school students who go back full time will have 40 days. HSC examinations will go ahead in 2020.Credit:Marina Neil The president of the NSW Teachers Federation, Angelo Gavrielatos, said the discrepancy put the 2020 HSC at risk. ""The model introduces a profound inequity in preparation,"" he said. ""Under these unfair conditions, the HSC could not continue. It would appear that the Premier's office failed to consider these consequences when devising their plan."" Premier Gladys Berejiklian announced on Tuesday that all government students, including those in year 12, would be asked to attend school for one day a week from May 11, and that would slowly increase until term 3, when all students would attend full time. Private schools supported a return to school in principle but can make their own decisions on how to do it. Many are sending year 12 back first for full-time, face-to-face learning from mid-May. Those schools include Trinity Grammar, St Catherine's School, SCEGGs Darlinghurst and Catholic high schools such as Emmaus Catholic College. One source close to HSC planning said the differing amount of face-to-face teaching over term two raised a ""real issue about the credibility of the HSC. Students will put in for misadventure and their misadventure is that they attend a government school."" Students are upset. On an HSC discussion forum yesterday, one student urged her peers to write to Ms Berejiklian and complain. ""Well this isn't fair,"" wrote another. ""Not that I wanted to go to school but it gives private students an advantage."" Education Minister Sarah Mitchell said the government's plan gave principals the flexibility to accommodate year 12 students in a way that best suited the school community. ""[NESA will] continue to work through the details of the HSC for 2020 to ensure equity for students in all systems,"" she said. Craig Petersen, the president of the Secondary Principals Council - which represents public school principals, said some educators were concerned this year's HSC ""would not be a level playing field"". But public school principals were already working to maximise class time for year 12, he said, while still adhering to government directions to bring back all students for one day a week. ""Some will be bringing [year 12] back to class,"" he said. ""Others will continue with the online learning environment. Principals will have the flexibility to do whatever they can. We are fairly happy with that."" Mr Petersen has asked the Department of Education to consider altering the second phase of the return-to-school plan - when students are due to return two days a week - to prioritise year 12. The Teachers' Federation is pushing for year 12 and kindergarten to return first, a model supported by the Catholic school sector, in which secondary schools are prioritising year 12. The federation said the one-day model would cause huge logistical challenges. Weeks of simmering tensions between the union and the government surfaced this week, when Ms Berejiklian accused the union of wanting students to do remote learning at home indefinitely - a claim rejected by Mr Gavrielatos. Meanwhile, NESA confirmed HSC exams would go ahead this year, and results would be released in mid-December as originally planned. NESA had previously confirmed that students would get their HSC in 2020 but had not clarified that the exams would proceed. Authorities can determine results on the basis of assessment marks or teacher estimates, as the United Kingdom is doing after cancelling its leaving exams. A meeting of the authority's COVID-19 response committee yesterday decided to proceed with the exams. A timetable will be released by May 15. Sources told the Herald that any changes to the start or finish dates would likely be minor. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Jordan Baker is Education Editor of The Sydney Morning Herald Copyright © 2020", Jordan Baker ,"April 24, 2020"
1,/national/back-to-school-plan-gives-private-students-hsc-advantage-educators-warn-20200424-p54n2v.html,"Back-to-school plan gives private students HSC advantage, educators warn","The NSW government's back-to-school plan has created an unfair system for this year's HSC, with educators warning students at private schools will have twice as much face-to-face learning in term two as their public school counterparts. The HSC  exams will go ahead in 2020, the NSW Education Standards Authority confirmed on Friday, with the timetable to be confirmed in mid-May and the results to be released in mid-December. But if public schools follow the goverment's staged return model for year 12 - one day a week for four weeks from May 11, then two days for another four - their HSC candidates will have 12 days of face-to-face teaching in term two, while private school students who go back full time will have 40 days. HSC examinations will go ahead in 2020.Credit:Marina Neil The president of the NSW Teachers Federation, Angelo Gavrielatos, said the discrepancy put the 2020 HSC at risk. ""The model introduces a profound inequity in preparation,"" he said. ""Under these unfair conditions, the HSC could not continue. It would appear that the Premier's office failed to consider these consequences when devising their plan."" Premier Gladys Berejiklian announced on Tuesday that all government students, including those in year 12, would be asked to attend school for one day a week from May 11, and that would slowly increase until term 3, when all students would attend full time. Private schools supported a return to school in principle but can make their own decisions on how to do it. Many are sending year 12 back first for full-time, face-to-face learning from mid-May. Those schools include Trinity Grammar, St Catherine's School, SCEGGs Darlinghurst and Catholic high schools such as Emmaus Catholic College. One source close to HSC planning said the differing amount of face-to-face teaching over term two raised a ""real issue about the credibility of the HSC. Students will put in for misadventure and their misadventure is that they attend a government school."" Students are upset. On an HSC discussion forum yesterday, one student urged her peers to write to Ms Berejiklian and complain. ""Well this isn't fair,"" wrote another. ""Not that I wanted to go to school but it gives private students an advantage."" Education Minister Sarah Mitchell said the government's plan gave principals the flexibility to accommodate year 12 students in a way that best suited the school community. ""[NESA will] continue to work through the details of the HSC for 2020 to ensure equity for students in all systems,"" she said. Craig Petersen, the president of the Secondary Principals Council - which represents public school principals, said some educators were concerned this year's HSC ""would not be a level playing field"". But public school principals were already working to maximise class time for year 12, he said, while still adhering to government directions to bring back all students for one day a week. ""Some will be bringing [year 12] back to class,"" he said. ""Others will continue with the online learning environment. Principals will have the flexibility to do whatever they can. We are fairly happy with that."" Mr Petersen has asked the Department of Education to consider altering the second phase of the return-to-school plan - when students are due to return two days a week - to prioritise year 12. The Teachers' Federation is pushing for year 12 and kindergarten to return first, a model supported by the Catholic school sector, in which secondary schools are prioritising year 12. The federation said the one-day model would cause huge logistical challenges. Weeks of simmering tensions between the union and the government surfaced this week, when Ms Berejiklian accused the union of wanting students to do remote learning at home indefinitely - a claim rejected by Mr Gavrielatos. Meanwhile, NESA confirmed HSC exams would go ahead this year, and results would be released in mid-December as originally planned. NESA had previously confirmed that students would get their HSC in 2020 but had not clarified that the exams would proceed. Authorities can determine results on the basis of assessment marks or teacher estimates, as the United Kingdom is doing after cancelling its leaving exams. A meeting of the authority's COVID-19 response committee yesterday decided to proceed with the exams. A timetable will be released by May 15. Sources told the Herald that any changes to the start or finish dates would likely be minor. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Jordan Baker is Education Editor of The Sydney Morning Herald Copyright © 2020", Jordan Baker ,"April 24, 2020"
2,/politics/federal/schools-safe-say-commonwealth-medical-experts-20200424-p54n25.html,"Schools safe, say commonwealth medical experts","The nation's peak health advisers have backed a return to teaching in school classrooms as new figures reveal only seven active cases of the COVID-19 virus among children and teenagers across NSW and Victoria. The new guidance confirms teachers and students will not need to stay more than 1.5 metres away from each other in the classroom, pushing back against union demands for continued online learning at home. Prime Minister Scott Morrison says the 1.5 metre social distancing rules don't apply in classrooms.Credit:Shutterstock While state governments are at odds over when to bring all students back to school, the state and federal chief medical officers issued updated advice to assure parents the classrooms could be kept safe. NSW health officials are also preparing to release a report this weekend that has not found significant evidence that children are transmitting the virus in schools, even in cases where students were found to be infected. Prime Minister Scott Morrison emerged from a national cabinet meeting on Friday to urge teachers to return to work like supermarket workers, bus drivers and others who were working while meeting rules designed to prevent the spread of the virus. ""Their risk is not in the classroom – their risk is in the staff room,"" he said of the teachers. Replay   State figures show that infections among school-age children make up a very small proportion of COVID-19 cases across the country. People aged 19 and under accounted for 122 cases of the virus in NSW out of a state total of 2976, according to figures up to Thursday night. All but five of these have recovered. The same age group accounted for 58 cases in Victoria out of a state total of 1343 people as at Friday morning, with all but two recovered. One the active cases is a teenage boy and the other is a girl aged 4 and under. Of the 1026 cases in Queensland up to midday on Friday, only 48 were aged 19 or under. but the state government declined to say how many had recovered. There have been 17 cases in South Australia among those aged 19 and under, out of a state total of 438, and all have recovered. There are more than 1.2 million school students in NSW, more than 990,000 in Victoria and more than 830,000 in Queensland, according to the Australian Bureau of Statistics. Mr Morrison said the updated advice from the Australian Health Protection Principal Committee – made up of federal and state chief medical officers – did not require classrooms to meet the social distancing rules for other spaces. The usual rules are for people to stay 1.5 metres away from each other and for internal spaces to be limited to one person for every four square metres. ""They need to ensure they have social distancing happening in the lunch room and the staff room and at drop off and at pick up and their engagement with parents,"" he told Sky News on Friday after the national cabinet meeting. ""But retailers are doing the same thing right now. People are doing it in manufacturing plants, on construction sites, workers are doing it."" Commonwealth Chief Medical Officer Brendan Murphy said the risk of transmission in schools was low because COVID-19 was very different to influenza, which spread quickly among the young. ""Most children who have contracted the virus in Australia have contracted it in the family home,"" Professor Murphy said. Asked whether the low rates among children reflected a lack of testing in that age group, Professor Murphy rejected this concern and pointed to the imminent NSW study. ""We don't have evidence of significant infection in children, and, more importantly, we are not seeing evidence of significant transmission amongst children in schools,"" he said. ""New South Wales Health have just done a very large study looking at some infections that have occurred in the school setting and have tested a lot of children [and] have not found evidence that children are transmitting this virus in schools."" The report by the National Centre for Immunisation Research and Surveillance for NSW Health is due to be released on Sunday. In another clash between federal and state governments on schools, Home Affairs Minister Peter Dutton accused Queensland premier Annastacia Palaszczuk of ""running scared"" of the Queensland Teachers' Union because she would not resume full classes. The union told members they should not allow too many children back to the classroom because it would be ""physically impossible"" to meet the social distancing rules, but the statement was made before the AHPPC confirmed the 1.5 metre rule did not apply. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. David Crowe is chief political correspondent for The Sydney Morning Herald and The Age. Copyright © 2020", David Crowe ,"April 24, 2020"
3,/politics/federal/schools-safe-say-commonwealth-medical-experts-20200424-p54n25.html,"Schools safe, say commonwealth medical experts","The nation's peak health advisers have backed a return to teaching in school classrooms as new figures reveal only seven active cases of the COVID-19 virus among children and teenagers across NSW and Victoria. The new guidance confirms teachers and students will not need to stay more than 1.5 metres away from each other in the classroom, pushing back against union demands for continued online learning at home. Prime Minister Scott Morrison says the 1.5 metre social distancing rules don't apply in classrooms.Credit:Shutterstock While state governments are at odds over when to bring all students back to school, the state and federal chief medical officers issued updated advice to assure parents the classrooms could be kept safe. NSW health officials are also preparing to release a report this weekend that has not found significant evidence that children are transmitting the virus in schools, even in cases where students were found to be infected. Prime Minister Scott Morrison emerged from a national cabinet meeting on Friday to urge teachers to return to work like supermarket workers, bus drivers and others who were working while meeting rules designed to prevent the spread of the virus. ""Their risk is not in the classroom – their risk is in the staff room,"" he said of the teachers. Replay   State figures show that infections among school-age children make up a very small proportion of COVID-19 cases across the country. People aged 19 and under accounted for 122 cases of the virus in NSW out of a state total of 2976, according to figures up to Thursday night. All but five of these have recovered. The same age group accounted for 58 cases in Victoria out of a state total of 1343 people as at Friday morning, with all but two recovered. One the active cases is a teenage boy and the other is a girl aged 4 and under. Of the 1026 cases in Queensland up to midday on Friday, only 48 were aged 19 or under. but the state government declined to say how many had recovered. There have been 17 cases in South Australia among those aged 19 and under, out of a state total of 438, and all have recovered. There are more than 1.2 million school students in NSW, more than 990,000 in Victoria and more than 830,000 in Queensland, according to the Australian Bureau of Statistics. Mr Morrison said the updated advice from the Australian Health Protection Principal Committee – made up of federal and state chief medical officers – did not require classrooms to meet the social distancing rules for other spaces. The usual rules are for people to stay 1.5 metres away from each other and for internal spaces to be limited to one person for every four square metres. ""They need to ensure they have social distancing happening in the lunch room and the staff room and at drop off and at pick up and their engagement with parents,"" he told Sky News on Friday after the national cabinet meeting. ""But retailers are doing the same thing right now. People are doing it in manufacturing plants, on construction sites, workers are doing it."" Commonwealth Chief Medical Officer Brendan Murphy said the risk of transmission in schools was low because COVID-19 was very different to influenza, which spread quickly among the young. ""Most children who have contracted the virus in Australia have contracted it in the family home,"" Professor Murphy said. Asked whether the low rates among children reflected a lack of testing in that age group, Professor Murphy rejected this concern and pointed to the imminent NSW study. ""We don't have evidence of significant infection in children, and, more importantly, we are not seeing evidence of significant transmission amongst children in schools,"" he said. ""New South Wales Health have just done a very large study looking at some infections that have occurred in the school setting and have tested a lot of children [and] have not found evidence that children are transmitting this virus in schools."" The report by the National Centre for Immunisation Research and Surveillance for NSW Health is due to be released on Sunday. In another clash between federal and state governments on schools, Home Affairs Minister Peter Dutton accused Queensland premier Annastacia Palaszczuk of ""running scared"" of the Queensland Teachers' Union because she would not resume full classes. The union told members they should not allow too many children back to the classroom because it would be ""physically impossible"" to meet the social distancing rules, but the statement was made before the AHPPC confirmed the 1.5 metre rule did not apply. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. David Crowe is chief political correspondent for The Sydney Morning Herald and The Age. Copyright © 2020", David Crowe ,"April 24, 2020"
4,/national/nsw/this-is-not-a-one-off-hit-sydney-universities-cut-courses-and-casual-staff-20200423-p54mmy.html,'This is not a one-off hit': Sydney universities cut courses and casual staff,"Western Sydney University has warned staff it will cut casual workloads next semester as it faces mounting financial shortfalls over the next three years due to the coronavirus pandemic. It comes amid mounting concern about casual workforces across the state's universities, with Sydney University slashing 30 per cent of its arts courses and one-third of casuals at the University of NSW reporting they've lost work. Replay   ""This is not a one-off hit,"" WSU Vice-Chancellor Barney Glover told staff via video link on Thursday. ""The challenge is bigger in 2021 [and 2022] than it is in 2020."" The university has flagged a $90 million shortfall in 2020, which could grow to between $120 and $130 million in 2021 and 2022 as travel restrictions remain in place and anticipated growth fails to materialise. University of Wollongong vice-chancellor Paul Wellings on Thursday also revealed a shortfall of $90 million linked to COVID-19 restrictions, which he said would have ""compounding effects for subsequent years"". Wollongong executive leadership will take a 20 per cent pay cut for 12 months and freeze non-essential external recruitment. Professor Glover said WSU would compensate by increasing domestic student numbers and reducing expenditure, including by cutting its casual budget in semester two while courses were predominantly delivered online. Casual staff will be prioritised for work on new six-month online courses created by the federal government's higher education relief package, but Professor Glover said the scheme did not ""go far enough for the sector at the moment"". ""We don’t believe the Commonwealth has done enough to support international students,"" he said, noting WSU was considering reducing fees for international students. But Professor Glover said the University of Sydney and UNSW were in a more difficult predicament, facing budget shortfalls of $470 million and $600 million respectively this year. Sydney University's arts and social science faculty has been told to cut its courses by almost a third next semester to reduce the cost of casual staff as revenue plummets due to COVID-19. Academics have been asked to target courses that were not essential to the progress of a degree, even if students had already enrolled in them. Resources needed to be focused on core units to focus on the quality of subjects still on offer, and to save money ""to ameliorate the impact of a downturn on staffing into 2021"", one school within the faculty was told in an email. ""The 30 per cent reduction will have impacts on student choice, staff teaching and the availability of casual work."" A report compiled by the University of NSW Casuals Network showed that one in three casuals at the university had lost work this month, costing them an average of $626 a week, and 42 per cent were working unpaid hours. Higher education workers do not qualify for the federal government’s JobKeeper scheme. A spokeswoman for Sydney University said the reduction of courses offered by the arts and social sciences faculty was unrelated to COVID-19, and was designed to ensure the school could ""operate sustainably in the medium to long term"". The university had also asked managers to look at workloads. ""We anticipate we will contract fewer casual teachers for semester two than previously projected. To date, we have no plans to terminate anyone’s employment,"" she said. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Natassia is the education reporter for The Sydney Morning Herald. Jordan Baker is Education Editor of The Sydney Morning Herald Copyright © 2020"," Natassia Chrysanthos , Jordan Baker ","April 24, 2020"
5,/national/nsw/this-is-not-a-one-off-hit-sydney-universities-cut-courses-and-casual-staff-20200423-p54mmy.html,'This is not a one-off hit': Sydney universities cut courses and casual staff,"Western Sydney University has warned staff it will cut casual workloads next semester as it faces mounting financial shortfalls over the next three years due to the coronavirus pandemic. It comes amid mounting concern about casual workforces across the state's universities, with Sydney University slashing 30 per cent of its arts courses and one-third of casuals at the University of NSW reporting they've lost work. Replay   ""This is not a one-off hit,"" WSU Vice-Chancellor Barney Glover told staff via video link on Thursday. ""The challenge is bigger in 2021 [and 2022] than it is in 2020."" The university has flagged a $90 million shortfall in 2020, which could grow to between $120 and $130 million in 2021 and 2022 as travel restrictions remain in place and anticipated growth fails to materialise. University of Wollongong vice-chancellor Paul Wellings on Thursday also revealed a shortfall of $90 million linked to COVID-19 restrictions, which he said would have ""compounding effects for subsequent years"". Wollongong executive leadership will take a 20 per cent pay cut for 12 months and freeze non-essential external recruitment. Professor Glover said WSU would compensate by increasing domestic student numbers and reducing expenditure, including by cutting its casual budget in semester two while courses were predominantly delivered online. Casual staff will be prioritised for work on new six-month online courses created by the federal government's higher education relief package, but Professor Glover said the scheme did not ""go far enough for the sector at the moment"". ""We don’t believe the Commonwealth has done enough to support international students,"" he said, noting WSU was considering reducing fees for international students. But Professor Glover said the University of Sydney and UNSW were in a more difficult predicament, facing budget shortfalls of $470 million and $600 million respectively this year. Sydney University's arts and social science faculty has been told to cut its courses by almost a third next semester to reduce the cost of casual staff as revenue plummets due to COVID-19. Academics have been asked to target courses that were not essential to the progress of a degree, even if students had already enrolled in them. Resources needed to be focused on core units to focus on the quality of subjects still on offer, and to save money ""to ameliorate the impact of a downturn on staffing into 2021"", one school within the faculty was told in an email. ""The 30 per cent reduction will have impacts on student choice, staff teaching and the availability of casual work."" A report compiled by the University of NSW Casuals Network showed that one in three casuals at the university had lost work this month, costing them an average of $626 a week, and 42 per cent were working unpaid hours. Higher education workers do not qualify for the federal government’s JobKeeper scheme. A spokeswoman for Sydney University said the reduction of courses offered by the arts and social sciences faculty was unrelated to COVID-19, and was designed to ensure the school could ""operate sustainably in the medium to long term"". The university had also asked managers to look at workloads. ""We anticipate we will contract fewer casual teachers for semester two than previously projected. To date, we have no plans to terminate anyone’s employment,"" she said. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Natassia is the education reporter for The Sydney Morning Herald. Jordan Baker is Education Editor of The Sydney Morning Herald Copyright © 2020"," Natassia Chrysanthos , Jordan Baker ","April 24, 2020"
6,/national/hsc-exams-go-ahead-this-year-results-released-in-mid-december-20200424-p54n22.html,"HSC exams go ahead this year, results released in mid-December","Higher School Certificate exams will go ahead this year, and results will be released in mid-December as originally planned, the NSW Education Standards Authority said on Friday. NESA had previously confirmed that students would get their HSC in 2020, but had not clarified that the exams would proceed, as results could still be determined on the basis of assessment marks or teacher estimates. HSC exams to go ahead in 2020Credit:Wolter Peeters But a meeting of the authority's COVID-19 response committee on Friday decided to proceed with the examinations. A timetable would be released by May 15. Sources told The Sydney Morning Herald that any changes to the start or finish dates would likely be minor. Due dates would be extended for major projects in design and technology, industrial technology, textiles and design and visual arts. Schools and parents would also be given more time to submit evidence for disability provisions for the exams. NESA chair Peter Shergold said the committee was working through every element of the HSC so the results issued to students in mid-December take into account any disruption due to the pandemic. “The health and safety of students, teachers, exam supervisors and markers, as well as equity for students remain central to the committee’s planning for this year’s HSC,” Professor Shergold said. NESA will provide teachers with detailed marking guidelines and monitor marks submitted to ensure equity. The Universities Admissions Centre has also confirmed students would have an Australian Tertiary Admissions Rank this year. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Jordan Baker is Education Editor of The Sydney Morning Herald Copyright © 2020", Jordan Baker ,"April 24, 2020"
7,/national/hsc-exams-go-ahead-this-year-results-released-in-mid-december-20200424-p54n22.html,"HSC exams go ahead this year, results released in mid-December","Higher School Certificate exams will go ahead this year, and results will be released in mid-December as originally planned, the NSW Education Standards Authority said on Friday. NESA had previously confirmed that students would get their HSC in 2020, but had not clarified that the exams would proceed, as results could still be determined on the basis of assessment marks or teacher estimates. HSC exams to go ahead in 2020Credit:Wolter Peeters But a meeting of the authority's COVID-19 response committee on Friday decided to proceed with the examinations. A timetable would be released by May 15. Sources told The Sydney Morning Herald that any changes to the start or finish dates would likely be minor. Due dates would be extended for major projects in design and technology, industrial technology, textiles and design and visual arts. Schools and parents would also be given more time to submit evidence for disability provisions for the exams. NESA chair Peter Shergold said the committee was working through every element of the HSC so the results issued to students in mid-December take into account any disruption due to the pandemic. “The health and safety of students, teachers, exam supervisors and markers, as well as equity for students remain central to the committee’s planning for this year’s HSC,” Professor Shergold said. NESA will provide teachers with detailed marking guidelines and monitor marks submitted to ensure equity. The Universities Admissions Centre has also confirmed students would have an Australian Tertiary Admissions Rank this year. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Jordan Baker is Education Editor of The Sydney Morning Herald Copyright © 2020", Jordan Baker ,"April 24, 2020"
8,/national/nsw/drivers-to-mow-lawns-canteen-staff-to-clean-in-private-school-job-deal-20200423-p54mow.html,"Drivers to mow lawns, canteen staff to clean in private school job deal","Cleaners, canteen staff, preschool assistants, bus drivers and grounds keepers at independent schools will be able to swap jobs under a suite of measures to help the sector through the economic impact of coronavirus. Schools in the sector will also be able to reduce general staff member's pay and hours by up to 25 per cent as some grapple with sharp fee shortfalls caused by the virus. General staff at independent schools can be redeployed into other roles under the deal.Credit:Erin Jonasson The deal, agreed between independent school associations and the sector's union on Thursday, does not apply to teachers or schools that have negotiated enterprise agreements with their staff but will still cover hundreds of other private schools across the country. It paves the way for schools to reduce their wage bills without risking a stoush with their employees of the kind that befell Haileybury, a top Melbourne private school, when it tried to stand down some of its music teachers. The school abandoned its effort after the union went to the industrial tribunal. Michelle Green, the chief executive of Independent Schools Victoria, said the COVID-19 pandemic had forced schools to make a choice between cutting the hours of some staff or standing them down completely. ""This measure, supported by the IEU, aims to keep non-teaching school staff in their jobs during the current crisis,"" Ms Green said. ""The alternative might have been that these staff would be stood down without pay."" Most independent schools are unable to access the federal government's JobKeeper scheme, though Chris Watt, federal secretary of the Independent Education Union, said some had still suffered ""serious cash flow issues"", which had triggered the negotiations. Mr Watt said there had been no similar discussions about teachers, though he cautioned the economic impact of the virus was uncertain. ""Teachers should be fully engaged irrespective of whether kids are at school or remote learning,"" he said. Under the deal, schools will be allowed to direct their employees to work in areas outside their usual role, so long as they are qualified and it is safe for them to do so. That could see idle bus drivers directed to do maintenance and canteen staff to clean grounds. If a school wants to cut staff hours, it has to inform them in writing and tell the union. The Fair Work Commission will consider the deal on Sunday. Once it has been approved, the changes will stay in effect until August. Assistant Secretary of the union's NSW branch, Carol Matthews, said the measure would have little relevance in the state as most independent school employees were covered by enterprise agreements. The deal follows similar bargains struck between unions and employers in the hospitality, restaurant and administrative sectors. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Adam Carey is Education Editor. He joined The Age in 2007 and has previously covered state politics, transport, general news, the arts and food.   Natassia is the education reporter for The Sydney Morning Herald. Copyright © 2020"," Nick Bonyhady, Adam Carey , Natassia Chrysanthos ","April 24, 2020"
9,/national/nsw/drivers-to-mow-lawns-canteen-staff-to-clean-in-private-school-job-deal-20200423-p54mow.html,"Drivers to mow lawns, canteen staff to clean in private school job deal","Cleaners, canteen staff, preschool assistants, bus drivers and grounds keepers at independent schools will be able to swap jobs under a suite of measures to help the sector through the economic impact of coronavirus. Schools in the sector will also be able to reduce general staff member's pay and hours by up to 25 per cent as some grapple with sharp fee shortfalls caused by the virus. General staff at independent schools can be redeployed into other roles under the deal.Credit:Erin Jonasson The deal, agreed between independent school associations and the sector's union on Thursday, does not apply to teachers or schools that have negotiated enterprise agreements with their staff but will still cover hundreds of other private schools across the country. It paves the way for schools to reduce their wage bills without risking a stoush with their employees of the kind that befell Haileybury, a top Melbourne private school, when it tried to stand down some of its music teachers. The school abandoned its effort after the union went to the industrial tribunal. Michelle Green, the chief executive of Independent Schools Victoria, said the COVID-19 pandemic had forced schools to make a choice between cutting the hours of some staff or standing them down completely. ""This measure, supported by the IEU, aims to keep non-teaching school staff in their jobs during the current crisis,"" Ms Green said. ""The alternative might have been that these staff would be stood down without pay."" Most independent schools are unable to access the federal government's JobKeeper scheme, though Chris Watt, federal secretary of the Independent Education Union, said some had still suffered ""serious cash flow issues"", which had triggered the negotiations. Mr Watt said there had been no similar discussions about teachers, though he cautioned the economic impact of the virus was uncertain. ""Teachers should be fully engaged irrespective of whether kids are at school or remote learning,"" he said. Under the deal, schools will be allowed to direct their employees to work in areas outside their usual role, so long as they are qualified and it is safe for them to do so. That could see idle bus drivers directed to do maintenance and canteen staff to clean grounds. If a school wants to cut staff hours, it has to inform them in writing and tell the union. The Fair Work Commission will consider the deal on Sunday. Once it has been approved, the changes will stay in effect until August. Assistant Secretary of the union's NSW branch, Carol Matthews, said the measure would have little relevance in the state as most independent school employees were covered by enterprise agreements. The deal follows similar bargains struck between unions and employers in the hospitality, restaurant and administrative sectors. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Adam Carey is Education Editor. He joined The Age in 2007 and has previously covered state politics, transport, general news, the arts and food.   Natassia is the education reporter for The Sydney Morning Herald. Copyright © 2020"," Nick Bonyhady, Adam Carey , Natassia Chrysanthos ","April 24, 2020"
