,link,header,article,author,date
0,/environment/conservation/ain-t-nothing-but-mammals-for-new-australian-museum-chief-scientist-20200422-p54m54.html,Ain't nothing but mammals for new Australian Museum chief scientist,"Among the 100 or so mammals that Professor Kristofer  Helgen has helped name during field research in 50 countries, the most unusual might be the Skywalker hoolock gibbon of southern China and Myanmar. The overlooked species of primate was discovered hanging high in the forest canopy and a young scientist from China,  who was working alongside Professor Helgen, wanted to choose a name that might appeal to pop culture aficionados. Australian Museum's new chief scientist Professor Kristofer Helgen. Credit:Ben Searcy They came up with the species name tianxing - a Chinese word that described heavenly motion and also translated as Skywalker. ""The actor Mark Hamill, Luke Skywalker himself, grabbed hold of this the moment we announced it, and hundreds of millions of people ended up meeting and learning about this beautiful animal in the news as a result,"" Professor Helgen said. There is arguably no better place to document the richness of mammal life, explore global change and solve problems of biomedicine than Australia. Which is how Professor Helgen, 40, has come to be named the new director and chief scientist of the Australian Museum Research Institute. The Skywalker hoolock gibbon.Credit:Fan Pengfei The Minnesota-born scientist replaces Dr Rebecca Johnson who established the museum's Centre for Wildlife Genomics and is now with the Smithsonian’s National Museum of Natural History, Professor Helgen's alma mater. ""One day I would be studying specimens collected on safari by Teddy Roosevelt, and then the next day I was hosting a birthday party for one of the Obama daughters in the mammals gallery,"" Professor Helgen recalls of his 11 years at the Smithsonian. Museum director Kim McKay said Professor Helgen's global track-record was outstanding, having documented and named some 100 previously overlooked species of living mammals including the world's smallest bandicoot. ""Added to this is Kris’ deep understanding of museums and museum collections, and experience leading major expeditions in the Pacific and around the world and his commitment to conserving the natural environment,"" she said. Professor Helgen has been transfixed by animals since he was a young child with mammals his overriding passion. ""I love how they form such a coherent, easily definable group - the creatures on our planet that have mothers that feed them milk - but yet how incredibly varied they are at the same time - body plans as different as platypuses, bats, and whales. ""When you become familiar with all the many ways there is to be a mammal, it puts humanity in a particular context - you instantly realise that in many ways we are just another of the mammal species on the planet, not all that special, but in a few ways, like in having enormous brains, we are very, very special indeed."" A dedicated public communicator in support of biodiversity discovery and conservation, Professor Helgen first visited the Australian Museum in 1998 as an 18-year-old Harvard student. There he met the museum's research scientist in mammals, Tim Flannery, who became a mentor. Professor Helgen said his aim was to make a ""lot of noise"" so the public understood that most of the magic at the Australian Museum happens behind the scenes, in the study of specimens ""collected centuries and decades ago as well as last week"". The role of the scientist was as important as ever in this time of contagion, Professor Helgen said. The possibility that a coronavirus might emerge from wildlife, he said, had been widely anticipated by scientists and COVID-19 was unlikely to be the last time. Professor Helgen said scientists studying the variety of life on earth, such as those working in natural history museums, should be more effectively enlisted to surveil viruses occurring in wild animal populations and to set up databases of pathogens. ""If we approach these things a little smarter, it can help both with wildlife conservation and with human wellbeing, and in big ways.""   Linda Morris is an arts and books writer at The Sydney Morning Herald Copyright © 2020", Linda Morris ,"April 24, 2020"
1,/environment/conservation/ain-t-nothing-but-mammals-for-new-australian-museum-chief-scientist-20200422-p54m54.html,Ain't nothing but mammals for new Australian Museum chief scientist,"Among the 100 or so mammals that Professor Kristofer  Helgen has helped name during field research in 50 countries, the most unusual might be the Skywalker hoolock gibbon of southern China and Myanmar. The overlooked species of primate was discovered hanging high in the forest canopy and a young scientist from China,  who was working alongside Professor Helgen, wanted to choose a name that might appeal to pop culture aficionados. Australian Museum's new chief scientist Professor Kristofer Helgen. Credit:Ben Searcy They came up with the species name tianxing - a Chinese word that described heavenly motion and also translated as Skywalker. ""The actor Mark Hamill, Luke Skywalker himself, grabbed hold of this the moment we announced it, and hundreds of millions of people ended up meeting and learning about this beautiful animal in the news as a result,"" Professor Helgen said. There is arguably no better place to document the richness of mammal life, explore global change and solve problems of biomedicine than Australia. Which is how Professor Helgen, 40, has come to be named the new director and chief scientist of the Australian Museum Research Institute. The Skywalker hoolock gibbon.Credit:Fan Pengfei The Minnesota-born scientist replaces Dr Rebecca Johnson who established the museum's Centre for Wildlife Genomics and is now with the Smithsonian’s National Museum of Natural History, Professor Helgen's alma mater. ""One day I would be studying specimens collected on safari by Teddy Roosevelt, and then the next day I was hosting a birthday party for one of the Obama daughters in the mammals gallery,"" Professor Helgen recalls of his 11 years at the Smithsonian. Museum director Kim McKay said Professor Helgen's global track-record was outstanding, having documented and named some 100 previously overlooked species of living mammals including the world's smallest bandicoot. ""Added to this is Kris’ deep understanding of museums and museum collections, and experience leading major expeditions in the Pacific and around the world and his commitment to conserving the natural environment,"" she said. Professor Helgen has been transfixed by animals since he was a young child with mammals his overriding passion. ""I love how they form such a coherent, easily definable group - the creatures on our planet that have mothers that feed them milk - but yet how incredibly varied they are at the same time - body plans as different as platypuses, bats, and whales. ""When you become familiar with all the many ways there is to be a mammal, it puts humanity in a particular context - you instantly realise that in many ways we are just another of the mammal species on the planet, not all that special, but in a few ways, like in having enormous brains, we are very, very special indeed."" A dedicated public communicator in support of biodiversity discovery and conservation, Professor Helgen first visited the Australian Museum in 1998 as an 18-year-old Harvard student. There he met the museum's research scientist in mammals, Tim Flannery, who became a mentor. Professor Helgen said his aim was to make a ""lot of noise"" so the public understood that most of the magic at the Australian Museum happens behind the scenes, in the study of specimens ""collected centuries and decades ago as well as last week"". The role of the scientist was as important as ever in this time of contagion, Professor Helgen said. The possibility that a coronavirus might emerge from wildlife, he said, had been widely anticipated by scientists and COVID-19 was unlikely to be the last time. Professor Helgen said scientists studying the variety of life on earth, such as those working in natural history museums, should be more effectively enlisted to surveil viruses occurring in wild animal populations and to set up databases of pathogens. ""If we approach these things a little smarter, it can help both with wildlife conservation and with human wellbeing, and in big ways.""   Linda Morris is an arts and books writer at The Sydney Morning Herald Copyright © 2020", Linda Morris ,"April 24, 2020"
2,/environment/climate-change/state-government-backs-big-batteries-and-solar-to-drive-recovery-20200423-p54mky.html,State government backs big batteries and solar to drive recovery,"Residents will be able to install larger solar energy systems on their roofs without council approval and NSW may get its first big battery as part of planning changes introduced by the state government. The moves were flagged last November but have been given greater urgency as the government seeks ways to ignite economic growth once the COVID-19 lockdowns ease. Until now, residents wanting solar panel systems of greater than 10 kiloWatt capacity first needed council approval.Credit:Nick Moir Existing rules require residents to get council approval if they want to install solar photovoltaic systems of more than 10-kilowatt capacity. Residential zones, such as aged care home, were also limited to 100kW systems. Under the changes to the State Environmental Planning Policy for infrastructure, those rules have been relaxed. It is hoped the changes will increase flexibility so people can install new and more efficient PV systems on the roofs of commercial premises. “These changes ensure planning requirements are aligned with advances in technology, and enable emerging energy projects to progress through the planning system more efficiently,” Mr Stokes said. The amendments are the first the state government has made designed to speed the take-up of low-carbon technologies as part of the economic recovery from the corona virus shutdown. The NSW environment minister Matt Kean said changes were ""great news"" for customers and the industry, and would help support new energy generation projects funded through the government's $75 million Emerging Energy Program. “Over the past five years, wind and solar electricity generation has almost tripled,"" Mr Kean said, adding that almost half a million homes now had solar PV. ""These planning changes are an important next step to help innovative electricity projects like big batteries, higher capacity solar and wind come online sooner and lower energy bills.” So far the state has lagged in is the introduction of large batteries such as South Australia's 100 megawatt-sized Hornsdale Power Reserve, which is already proving a financial success and Victoria following suit with their own big batteries. The SEPP amendments recognise large-scale electricity storage will play an increasing role in the transition to renewable energy. The changes will enable utility providers to construct electricity storage as part of improvement works to transmission and distribution networks, and allow for large-scale battery storage systems to be built in permitted zones across NSW, the government said in a statement. In a November report on the proposed changes, the Planning Department said its energy division had already received as many as 15 applications for grant funding of standalone battery projects under the $75 million program. Peter Hannam writes on environment issues for The Sydney Morning Herald and The Age. Copyright © 2020", Peter Hannam ,"April 24, 2020"
3,/environment/climate-change/state-government-backs-big-batteries-and-solar-to-drive-recovery-20200423-p54mky.html,State government backs big batteries and solar to drive recovery,"Residents will be able to install larger solar energy systems on their roofs without council approval and NSW may get its first big battery as part of planning changes introduced by the state government. The moves were flagged last November but have been given greater urgency as the government seeks ways to ignite economic growth once the COVID-19 lockdowns ease. Until now, residents wanting solar panel systems of greater than 10 kiloWatt capacity first needed council approval.Credit:Nick Moir Existing rules require residents to get council approval if they want to install solar photovoltaic systems of more than 10-kilowatt capacity. Residential zones, such as aged care home, were also limited to 100kW systems. Under the changes to the State Environmental Planning Policy for infrastructure, those rules have been relaxed. It is hoped the changes will increase flexibility so people can install new and more efficient PV systems on the roofs of commercial premises. “These changes ensure planning requirements are aligned with advances in technology, and enable emerging energy projects to progress through the planning system more efficiently,” Mr Stokes said. The amendments are the first the state government has made designed to speed the take-up of low-carbon technologies as part of the economic recovery from the corona virus shutdown. The NSW environment minister Matt Kean said changes were ""great news"" for customers and the industry, and would help support new energy generation projects funded through the government's $75 million Emerging Energy Program. “Over the past five years, wind and solar electricity generation has almost tripled,"" Mr Kean said, adding that almost half a million homes now had solar PV. ""These planning changes are an important next step to help innovative electricity projects like big batteries, higher capacity solar and wind come online sooner and lower energy bills.” So far the state has lagged in is the introduction of large batteries such as South Australia's 100 megawatt-sized Hornsdale Power Reserve, which is already proving a financial success and Victoria following suit with their own big batteries. The SEPP amendments recognise large-scale electricity storage will play an increasing role in the transition to renewable energy. The changes will enable utility providers to construct electricity storage as part of improvement works to transmission and distribution networks, and allow for large-scale battery storage systems to be built in permitted zones across NSW, the government said in a statement. In a November report on the proposed changes, the Planning Department said its energy division had already received as many as 15 applications for grant funding of standalone battery projects under the $75 million program. Peter Hannam writes on environment issues for The Sydney Morning Herald and The Age. Copyright © 2020", Peter Hannam ,"April 24, 2020"
4,/environment/new-zealand-skies-turned-orange-by-australian-bushfires-20200423-p54mmw.html,,Replay   Copyright © 2020,,
5,/environment/new-zealand-skies-turned-orange-by-australian-bushfires-20200423-p54mmw.html,,Replay   Copyright © 2020,,
6,/environment/smoke-from-bushfire-drifts-towards-nz-20200423-p54mmz.html,,Replay   Copyright © 2020,,
7,/environment/smoke-from-bushfire-drifts-towards-nz-20200423-p54mmz.html,,Replay   Copyright © 2020,,
8,/environment/blue-skies-over-megacities-can-they-last-20200423-p54mfu.html,,Replay   Copyright © 2020,,
9,/environment/blue-skies-over-megacities-can-they-last-20200423-p54mfu.html,,Replay   Copyright © 2020,,
