,link,header,article,author,date
0,/money/borrowing/three-cheaper-alternatives-than-taking-a-mortgage-holiday-20200423-p54mp2.html,Three cheaper alternatives than taking a mortgage holiday,"I’ve never seen banks more lenient. They’re bending over backwards to help customers during the coronavirus crisis. For businesses, they’re extending discounted loans, fee waivers and expedited processing. For residential mortgage holders, they’re giving up-to six-month repayment holidays. Taking a payment holiday on your home loan will cost you more in the long run.Credit:Louie Douvis However, just remember that for all of the above, for the banks it will mean short-term pain for longer-term gain. It's the opposite for borrowers, who mostly will pay more. According to RateCity, a half-year mortgage holiday towards the beginning of an average $400,000 loan at 3.54 per cent will end up costing you an extra $6000 – even if you lift your repayments afterwards, so that your loan term stays the same. That would require an extra $62 a month. And if you instead keep your payments at their original level, the loan will blow out by more than $17,000 – and 15 months! However, there are three smarter, cheaper ways than cutting your mortgage payments. Money asked loan comparison website Mozo to identify the most competitive deals with offset accounts (we disregarded home loans without real offset accounts, which are a really powerful debt-reduction tool, so looked at mortgages from authorised deposit-taking institutions only). Many borrowers are learning the hard way – as banks refuse to extend repayment holidays to people who have accelerated repayments directly into their mortgages – that paying extra into a companion, quarantined offset account is a smarter and safer move. In the global coronavirus crack-up, US financial institutions have even stopped borrowers accessing these savings, when it was assumed they could always be easily redrawn. The average variable rate for an owner occupier making principal and interest mortgage repayments is now 3.43 percent. But the best-value mortgages – the cheapest with real offset accounts – start at 2.55 per cent (HSBC, MOVE Bank, G&C Mutual Bank and Easy Street round out the top four). A move from the average advertised Big 4 package rate, at 4.51 per cent, would save $421 a month. However, you might not even have to move banks. Our largest institutions are disclosing a discount of some 0.7 per cent, and will be giving far more on the sly. Even the disclosed discount would save almost $200 a month without having to move… and you could angle for more, based on the fact you know you could be paying as little as 2.55 per cent. Interest-only mortgages have long been on the nose with Australia’s financial regulators, as they sought to deflate an overheated – and over-leveraged – property market. As such, hundreds of thousands of mortgage holders have been switched to principal and interest in recent years, to ensure they chip away at their debt. Going interest-only can as much as half your repayment overnight. It also saves you from expensively paying interest on interest, as you would if you took a total mortgage holiday. You can return to paying principal, well, just as soon as you can. My three rules for fixing a home loan interest rate are: Only ever fix half of the loan, only for a maximum of three years and only if you can get an immediate discount on your payments… and today you can. While variable rates are down 24 basis points since the start of March, the typical one-year fix has been slashed 52 points. Mozo says there are fixes of 2.09 per cent available over one, two and three years (lenders include Well Home Loans, Reduce Home Loans and ING). Just be aware that when you fix, you often can’t pay extra off the home loan, to save interest and slash your loan term. Fixed rates usually come with a substandard offset account, too. Nicole Pedersen-McKinnon is the author of How to Get Mortgage-Free Like Me. Follow Nicole on Facebook, Twitter or Instagram. Financial educator, commentator and author. Copyright © 2020", ,"April 23, 2020"
1,/money/borrowing/three-cheaper-alternatives-than-taking-a-mortgage-holiday-20200423-p54mp2.html,Three cheaper alternatives than taking a mortgage holiday,"I’ve never seen banks more lenient. They’re bending over backwards to help customers during the coronavirus crisis. For businesses, they’re extending discounted loans, fee waivers and expedited processing. For residential mortgage holders, they’re giving up-to six-month repayment holidays. Taking a payment holiday on your home loan will cost you more in the long run.Credit:Louie Douvis However, just remember that for all of the above, for the banks it will mean short-term pain for longer-term gain. It's the opposite for borrowers, who mostly will pay more. According to RateCity, a half-year mortgage holiday towards the beginning of an average $400,000 loan at 3.54 per cent will end up costing you an extra $6000 – even if you lift your repayments afterwards, so that your loan term stays the same. That would require an extra $62 a month. And if you instead keep your payments at their original level, the loan will blow out by more than $17,000 – and 15 months! However, there are three smarter, cheaper ways than cutting your mortgage payments. Money asked loan comparison website Mozo to identify the most competitive deals with offset accounts (we disregarded home loans without real offset accounts, which are a really powerful debt-reduction tool, so looked at mortgages from authorised deposit-taking institutions only). Many borrowers are learning the hard way – as banks refuse to extend repayment holidays to people who have accelerated repayments directly into their mortgages – that paying extra into a companion, quarantined offset account is a smarter and safer move. In the global coronavirus crack-up, US financial institutions have even stopped borrowers accessing these savings, when it was assumed they could always be easily redrawn. The average variable rate for an owner occupier making principal and interest mortgage repayments is now 3.43 percent. But the best-value mortgages – the cheapest with real offset accounts – start at 2.55 per cent (HSBC, MOVE Bank, G&C Mutual Bank and Easy Street round out the top four). A move from the average advertised Big 4 package rate, at 4.51 per cent, would save $421 a month. However, you might not even have to move banks. Our largest institutions are disclosing a discount of some 0.7 per cent, and will be giving far more on the sly. Even the disclosed discount would save almost $200 a month without having to move… and you could angle for more, based on the fact you know you could be paying as little as 2.55 per cent. Interest-only mortgages have long been on the nose with Australia’s financial regulators, as they sought to deflate an overheated – and over-leveraged – property market. As such, hundreds of thousands of mortgage holders have been switched to principal and interest in recent years, to ensure they chip away at their debt. Going interest-only can as much as half your repayment overnight. It also saves you from expensively paying interest on interest, as you would if you took a total mortgage holiday. You can return to paying principal, well, just as soon as you can. My three rules for fixing a home loan interest rate are: Only ever fix half of the loan, only for a maximum of three years and only if you can get an immediate discount on your payments… and today you can. While variable rates are down 24 basis points since the start of March, the typical one-year fix has been slashed 52 points. Mozo says there are fixes of 2.09 per cent available over one, two and three years (lenders include Well Home Loans, Reduce Home Loans and ING). Just be aware that when you fix, you often can’t pay extra off the home loan, to save interest and slash your loan term. Fixed rates usually come with a substandard offset account, too. Nicole Pedersen-McKinnon is the author of How to Get Mortgage-Free Like Me. Follow Nicole on Facebook, Twitter or Instagram. Financial educator, commentator and author. Copyright © 2020", ,"April 23, 2020"
2,/money/super-and-retirement/super-withdrawals-a-necessary-trade-off-for-many-20200423-p54mmu.html,Super withdrawals a necessary trade-off for many,"Applications opened this week for Australians hardest hit by the COVID-19 pandemic to access up to $10,000 of their own superannuation savings. As of mid-week, some 456,000 applications, with a value of $3.8 billion, have been made via MyGov, approved by the ATO, and on-sent to the super funds for payment. The average request is for around $8,000. The government has not taken the decision lightly to allow early release of super. But for Australians whose finances have been significantly affected by COVID-19, accessing a limited amount of super today may outweigh the benefits of locking up savings all the way to retirement. In conjunction with other measures the government has announced, such as the doubling of Jobseeker and the $130 billion Jobkeeper package, this is the largest economic lifeline in Australia’s history. Of course, early withdrawal of super is a trade-off. Some people have no choice when it comes to accessing their super early.Credit:Jason South Money withdrawn now won’t gather compound interest for retirement unless replaced down the track. But money taken out of super need not be a permanent withdrawal. We’d all want to avoid borrowing long term on a credit card, and seek to repay that as soon as the household budget permits. And when it comes to super, the government already has flexible measures in place for members to re-contribute to super when times are better, such as the option of catch-up contributions. But for those who need money now, there may be no easy options. It’s important to look at the counterfactual: the alternative might be incurring costly personal loans, credit card debt or selling the family car. If members have made the difficult decision to draw on their own savings, they will expect their super fund to release their money as quickly as possible. At a time when money is tight and there are pressing needs for families, everyone must play their part – including super funds. For our part, the government has ensured the administration is as simple as possible. Applications for early release must be made through MyGov (my.gov.au); an individual does not need to contact their super fund to make a claim. The ATO shoulders the burden of verification and assessment. So the government’s ask of the $3 trillion super industry is simple: respond to the ATO’s requests and release funds to members as quickly as possible, within five business days. That’s the benchmark set by APRA, the superannuation sector regulator. This is an opportunity for all super funds to demonstrate their commitment to their members at a time when they need it most. I’m glad to see that many funds have responded to the call, worked diligently on their systems and capacity and are standing ready to help. A number have told me that they aim not just to meet but to beat that five-day benchmark. And for any who speculate on strains in the super system, let me put this ask in context. Treasury estimates that fewer than 1.7 million Australians will apply for early release, equating to around $27 billion. This is less than one per cent of the circa $3 trillion in super funds. It’s also less than a quarter of the total that workers contributed to super last financial year. No sector of the economy is immune to COVID-19. Members will be looking to super funds to pull their weight, just like the rest of us. And others will be looking too. Any fund refusing prompt access to a member’s money after ATO approval can expect to be the focus of attention from their members, from the media and from the regulators. APRA has made its expectations clear. For those who can’t – or won’t – meet them, APRA’s new directions powers give it teeth that may well be tested. Senator Jane Hume is the Assistant Minister for Superannuation, Financial Services and Financial Technology.  Jane Hume is the assistant minister for superannuation, financial services, and financial technology. Copyright © 2020", ,"April 23, 2020"
3,/money/super-and-retirement/super-withdrawals-a-necessary-trade-off-for-many-20200423-p54mmu.html,Super withdrawals a necessary trade-off for many,"Applications opened this week for Australians hardest hit by the COVID-19 pandemic to access up to $10,000 of their own superannuation savings. As of mid-week, some 456,000 applications, with a value of $3.8 billion, have been made via MyGov, approved by the ATO, and on-sent to the super funds for payment. The average request is for around $8,000. The government has not taken the decision lightly to allow early release of super. But for Australians whose finances have been significantly affected by COVID-19, accessing a limited amount of super today may outweigh the benefits of locking up savings all the way to retirement. In conjunction with other measures the government has announced, such as the doubling of Jobseeker and the $130 billion Jobkeeper package, this is the largest economic lifeline in Australia’s history. Of course, early withdrawal of super is a trade-off. Some people have no choice when it comes to accessing their super early.Credit:Jason South Money withdrawn now won’t gather compound interest for retirement unless replaced down the track. But money taken out of super need not be a permanent withdrawal. We’d all want to avoid borrowing long term on a credit card, and seek to repay that as soon as the household budget permits. And when it comes to super, the government already has flexible measures in place for members to re-contribute to super when times are better, such as the option of catch-up contributions. But for those who need money now, there may be no easy options. It’s important to look at the counterfactual: the alternative might be incurring costly personal loans, credit card debt or selling the family car. If members have made the difficult decision to draw on their own savings, they will expect their super fund to release their money as quickly as possible. At a time when money is tight and there are pressing needs for families, everyone must play their part – including super funds. For our part, the government has ensured the administration is as simple as possible. Applications for early release must be made through MyGov (my.gov.au); an individual does not need to contact their super fund to make a claim. The ATO shoulders the burden of verification and assessment. So the government’s ask of the $3 trillion super industry is simple: respond to the ATO’s requests and release funds to members as quickly as possible, within five business days. That’s the benchmark set by APRA, the superannuation sector regulator. This is an opportunity for all super funds to demonstrate their commitment to their members at a time when they need it most. I’m glad to see that many funds have responded to the call, worked diligently on their systems and capacity and are standing ready to help. A number have told me that they aim not just to meet but to beat that five-day benchmark. And for any who speculate on strains in the super system, let me put this ask in context. Treasury estimates that fewer than 1.7 million Australians will apply for early release, equating to around $27 billion. This is less than one per cent of the circa $3 trillion in super funds. It’s also less than a quarter of the total that workers contributed to super last financial year. No sector of the economy is immune to COVID-19. Members will be looking to super funds to pull their weight, just like the rest of us. And others will be looking too. Any fund refusing prompt access to a member’s money after ATO approval can expect to be the focus of attention from their members, from the media and from the regulators. APRA has made its expectations clear. For those who can’t – or won’t – meet them, APRA’s new directions powers give it teeth that may well be tested. Senator Jane Hume is the Assistant Minister for Superannuation, Financial Services and Financial Technology.  Jane Hume is the assistant minister for superannuation, financial services, and financial technology. Copyright © 2020", ,"April 23, 2020"
4,/money/borrowing/why-lenders-don-t-mind-if-you-cut-your-mortgage-payments-20200420-p54le8.html,Why lenders don't mind if you cut your mortgage payments,"Many people find themselves in financial hardship because of the COVID-19 pandemic and major lenders are making a lot of noise about being “here to help you”. Unfortunately, some of their offers come in a poisoned chalice. You pay a massive price for ""enjoying"" minimum monthly home-loan repayments.Credit:iStock Offers to defer mortgage payments for six months, or three months for credit-card payments, while interest and fees continue, results in lenders collecting interest on interest. Don’t fall for it – unless you have no alternative. And if you are making extra mortgage repayments, continue doing it and save tens of thousands in interest. Because of the way that compound interest works, there is little interest to be saved by making extra mortgage repayments once the term of a loan is less than 10 years. According to my loan calculators, at an interest rate of 3 per cent, a 10-year term is achieved once you can repay $970 a month for each $100,000 borrowed. For example, on the average loan of $400,000 that is a monthly payment of $3880. At the other end of the spectrum are loans written on a 30-year term. That would be $422 a month for every $100,000 borrowed. The difference in interest between these two loans is staggering. For the 10-year loan, total interest is about $63,000. For the 30-year loan, the total interest would be $207,000. Remember that home loan interest is non-tax-deductible. This means, if you are a mid-tier taxpayer, the interest on that 30-year loan would take $340,000 of your pre-tax salary. That’s a massive price to pay for “enjoying” minimum monthly home loan repayments. I have been writing about this for years and urging borrowers to get ahead in their mortgage repayments, not only to provide a safety buffer if interest rates rise or they suffer financial stress, but also to save a fortune in interest. A realistic goal is a 20-year term, which requires payments of $560 for each $100,000 borrowed – $2240 a month on a $400,000 loan. That’s only about $127 a week extra but it will cut the interest bill to $130,000. Given the undeniable benefits to borrowers of increasing their mortgage payments, I was horrified when a Commonwealth Bank (CBA) client sent me an email they had received which read: “We’re taking steps to continue providing the financial support our customers need. This is why we are making a one-off change to your home loan direct-debit repayment amount, reducing it to the current minimum required payment.” The bank then clarified that there is an “opt-out” procedure, that is, borrowers who want to continue with higher home loan repayments must go out of their way to tell the bank. Any marketing consultant will tell you that setting an “opt out” option is a major tool in getting people to make a change you would like them to. Think about it: most of us suffer from a barrage of paperwork, seldom read the fine print, and even the thought of having to go to somebody’s website and do all the hard work to “opt out” is enough to make us shudder. It is hardly likely to happen. It is therefore irresponsible of CBA to make the automatic ""opt in"" provision, and it is hard to escape the conclusion that it is just a sneaky way for it to boost its profits at a time when banks, in general, are doing it tough. The bank could just as easily have written to their customers along the lines of, “We appreciate these are tough times, but urge you to continue making your extra payments at the current level to pay off your loan as fast as possible and continue saving interest. However, if you need to reduce your payments, please contact us.” It would make that option available to those who need it. By making the proceedure a default “opt in” for lower payments, many more homeowners will cease making higher payments that are in their own best interests. The chances are high that CBA customers will ignore their email, let the bank reduce their repayments and extend the term of the mortgage by years, resulting in borrowers paying thousands of dollars of unnecessary interest. Noel Whittaker, AM, is the author of Making Money Made Simple and numerous other books on personal finance. Copyright © 2020", ,"April 21, 2020"
5,/money/borrowing/why-lenders-don-t-mind-if-you-cut-your-mortgage-payments-20200420-p54le8.html,Why lenders don't mind if you cut your mortgage payments,"Many people find themselves in financial hardship because of the COVID-19 pandemic and major lenders are making a lot of noise about being “here to help you”. Unfortunately, some of their offers come in a poisoned chalice. You pay a massive price for ""enjoying"" minimum monthly home-loan repayments.Credit:iStock Offers to defer mortgage payments for six months, or three months for credit-card payments, while interest and fees continue, results in lenders collecting interest on interest. Don’t fall for it – unless you have no alternative. And if you are making extra mortgage repayments, continue doing it and save tens of thousands in interest. Because of the way that compound interest works, there is little interest to be saved by making extra mortgage repayments once the term of a loan is less than 10 years. According to my loan calculators, at an interest rate of 3 per cent, a 10-year term is achieved once you can repay $970 a month for each $100,000 borrowed. For example, on the average loan of $400,000 that is a monthly payment of $3880. At the other end of the spectrum are loans written on a 30-year term. That would be $422 a month for every $100,000 borrowed. The difference in interest between these two loans is staggering. For the 10-year loan, total interest is about $63,000. For the 30-year loan, the total interest would be $207,000. Remember that home loan interest is non-tax-deductible. This means, if you are a mid-tier taxpayer, the interest on that 30-year loan would take $340,000 of your pre-tax salary. That’s a massive price to pay for “enjoying” minimum monthly home loan repayments. I have been writing about this for years and urging borrowers to get ahead in their mortgage repayments, not only to provide a safety buffer if interest rates rise or they suffer financial stress, but also to save a fortune in interest. A realistic goal is a 20-year term, which requires payments of $560 for each $100,000 borrowed – $2240 a month on a $400,000 loan. That’s only about $127 a week extra but it will cut the interest bill to $130,000. Given the undeniable benefits to borrowers of increasing their mortgage payments, I was horrified when a Commonwealth Bank (CBA) client sent me an email they had received which read: “We’re taking steps to continue providing the financial support our customers need. This is why we are making a one-off change to your home loan direct-debit repayment amount, reducing it to the current minimum required payment.” The bank then clarified that there is an “opt-out” procedure, that is, borrowers who want to continue with higher home loan repayments must go out of their way to tell the bank. Any marketing consultant will tell you that setting an “opt out” option is a major tool in getting people to make a change you would like them to. Think about it: most of us suffer from a barrage of paperwork, seldom read the fine print, and even the thought of having to go to somebody’s website and do all the hard work to “opt out” is enough to make us shudder. It is hardly likely to happen. It is therefore irresponsible of CBA to make the automatic ""opt in"" provision, and it is hard to escape the conclusion that it is just a sneaky way for it to boost its profits at a time when banks, in general, are doing it tough. The bank could just as easily have written to their customers along the lines of, “We appreciate these are tough times, but urge you to continue making your extra payments at the current level to pay off your loan as fast as possible and continue saving interest. However, if you need to reduce your payments, please contact us.” It would make that option available to those who need it. By making the proceedure a default “opt in” for lower payments, many more homeowners will cease making higher payments that are in their own best interests. The chances are high that CBA customers will ignore their email, let the bank reduce their repayments and extend the term of the mortgage by years, resulting in borrowers paying thousands of dollars of unnecessary interest. Noel Whittaker, AM, is the author of Making Money Made Simple and numerous other books on personal finance. Copyright © 2020", ,"April 21, 2020"
6,/money/insurance/mortgage-insurance-no-protection-in-hard-times-20200420-p54lix.html,Mortgage insurance no protection in hard times,"Homebuyers are being slugged thousands of dollars in premiums for insurance policies that don't protect them if they default on their loan. Rather than wait an average eight years to save a 20 per cent deposit on a median-priced property, a third of homebuyers cop the hefty cost of Lender’s Mortgage Insurance (LMI) on the chin. Many borrowers mistakenly believe LMI is designed to protect them if they default on the loan.Credit:  Many borrowers mistakenly believe LMI is designed to protect them if they default on a loan, enabling them to keep their home. However, it protects only the lender if the borrower defaults. More than $844 million in new LMI policies were written by mortgage insurers last year. Now, as a growing number of homeowners scramble to read the fine print on their policies amid the economic crisis sparked by the COVID-19 pandemic, they are realising they are not protected. Without a 20 per cent deposit, homebuyers are usually required to take out LMI. Self-employed buyers and non-residents may also need a policy, with lenders deciding on a case-by-case basis. LMI was introduced by the federal government in 1965 to transfer the risk from lenders to insurers. It is not cheap, either. If you save a 5 per cent deposit for a $500,000 loan, you will need to pay an eye-watering $15,960 in LMI premiums. Not a cent of this covers the buyer. LMI is usually arranged by the lender during the loan approval process. The cost is agreed between the lender and the insurer, and the premium paid by the homebuyer as a one-off fee. It can be paid as a lump sum, although lenders often add the premium to the home loan amount, so it can paid it off over time, which means borrowers pay interest on the insured amount. Eligible first-home buyers can save about $10,000 in LMI costs with just a 5 per cent deposit under the government’s new First Home Loan Deposit Scheme. Another 10,000 scheme places will be available from July this year. Consumer advocate Choice called on the banking royal commission to abolish LMI, expressing concerns about a lack of choice between products and that they offered no value to consumers. “Evidence of premiums at one insurer almost five times higher than at a competitor may be indicative of extreme profiteering,” the Choice submission read. The Banking Code of Practice stopped short of abolishing the policies, but halted LMI commissions. Many first-time homebuyers do not look past interest rates when calculating how much they will pay for a new loan, overlooking LMI, Sydney mortgage broker Otto Dargan says. However, homebuyers should bear in mind that the rate that LMI is charged jumps significantly at certain borrowing thresholds. “If you’re borrowing $299,999, you will pay much less in LMI than if you borrow $300,001, even though your loan is just $2 more,” he says. The cost of LMI jumps again when you borrow more than 90 per cent of the property's value. So, a relatively small reduction in the size of your loan can result in significant savings, he says. Dargan recommends that homebuyers obtain an estimate of the LMI premium they would pay with a range of lenders and insurers. “The problem is that banks and lenders don’t actively publish the LMI premium rates of their mortgage insurer, so it’s difficult to compare,” Dargan says. However, mortgage brokers have access to this information and should compare the cost of LMI when making a recommendation, he says. Copyright © 2020", Nina Hendy ,"April 21, 2020"
7,/money/insurance/mortgage-insurance-no-protection-in-hard-times-20200420-p54lix.html,Mortgage insurance no protection in hard times,"Homebuyers are being slugged thousands of dollars in premiums for insurance policies that don't protect them if they default on their loan. Rather than wait an average eight years to save a 20 per cent deposit on a median-priced property, a third of homebuyers cop the hefty cost of Lender’s Mortgage Insurance (LMI) on the chin. Many borrowers mistakenly believe LMI is designed to protect them if they default on the loan.Credit:  Many borrowers mistakenly believe LMI is designed to protect them if they default on a loan, enabling them to keep their home. However, it protects only the lender if the borrower defaults. More than $844 million in new LMI policies were written by mortgage insurers last year. Now, as a growing number of homeowners scramble to read the fine print on their policies amid the economic crisis sparked by the COVID-19 pandemic, they are realising they are not protected. Without a 20 per cent deposit, homebuyers are usually required to take out LMI. Self-employed buyers and non-residents may also need a policy, with lenders deciding on a case-by-case basis. LMI was introduced by the federal government in 1965 to transfer the risk from lenders to insurers. It is not cheap, either. If you save a 5 per cent deposit for a $500,000 loan, you will need to pay an eye-watering $15,960 in LMI premiums. Not a cent of this covers the buyer. LMI is usually arranged by the lender during the loan approval process. The cost is agreed between the lender and the insurer, and the premium paid by the homebuyer as a one-off fee. It can be paid as a lump sum, although lenders often add the premium to the home loan amount, so it can paid it off over time, which means borrowers pay interest on the insured amount. Eligible first-home buyers can save about $10,000 in LMI costs with just a 5 per cent deposit under the government’s new First Home Loan Deposit Scheme. Another 10,000 scheme places will be available from July this year. Consumer advocate Choice called on the banking royal commission to abolish LMI, expressing concerns about a lack of choice between products and that they offered no value to consumers. “Evidence of premiums at one insurer almost five times higher than at a competitor may be indicative of extreme profiteering,” the Choice submission read. The Banking Code of Practice stopped short of abolishing the policies, but halted LMI commissions. Many first-time homebuyers do not look past interest rates when calculating how much they will pay for a new loan, overlooking LMI, Sydney mortgage broker Otto Dargan says. However, homebuyers should bear in mind that the rate that LMI is charged jumps significantly at certain borrowing thresholds. “If you’re borrowing $299,999, you will pay much less in LMI than if you borrow $300,001, even though your loan is just $2 more,” he says. The cost of LMI jumps again when you borrow more than 90 per cent of the property's value. So, a relatively small reduction in the size of your loan can result in significant savings, he says. Dargan recommends that homebuyers obtain an estimate of the LMI premium they would pay with a range of lenders and insurers. “The problem is that banks and lenders don’t actively publish the LMI premium rates of their mortgage insurer, so it’s difficult to compare,” Dargan says. However, mortgage brokers have access to this information and should compare the cost of LMI when making a recommendation, he says. Copyright © 2020", Nina Hendy ,"April 21, 2020"
8,/money/super-and-retirement/why-you-should-resist-the-urge-to-switch-or-redeem-super-20200417-p54kwe.html,Why you should resist the urge to switch or redeem super,"This is the superannuation industry's week of reckoning. Anyone who has lost work as a result of the coronavirus crisis is now able to withdraw $10,000 from their retirement savings. In June, the same cohort will be able to take out another $10,000. Switching to cash or drawing down early on your super means funds may have to sell some liquid assets, such as shares, to meet demand.Credit:AAP It is a self-approval system, so all you need to do is go to the Australian Taxation Office website, via your myGov account, sign an online declaration to say you have lost at least 20 per cent of your income and your super fund is then required to pay out your money within five business days. Best case scenario: The mammoth government stimulus package means only a small portion of Australians – those genuinely struggling to stay afloat – will take advantage of the scheme. Worst case scenario: Super funds freeze redemptions and their cash reserves dry up, meaning the sector cannot recapitalise the economy on the other side of the crisis and the balances of members who don’t access the scheme take a beating. The industry has done everything it can to get the message out: Only tap into your super as a last resort. Losses will be crystallised if super is withdrawn at the bottom of the market and the younger you are, compounding returns mean the greater the long-term damage to your retirement savings. So, how does calculating the value of you super balance actually work? To understand why your balance goes up and down, you have to grasp unit pricing. When you invest in super, you are actually buying units in an investment portfolio that change daily in value, based on market forces and value audits. ""In effect, the unit price is equal to the net asset value divided by the units on issue, so there is a price for each unit much like there is a price for each share on a stock exchange,"" Willis Towers Watson senior investment consultant Nick Kelly explains. Median growth funds fell by 12.5 per cent in March, according to research released this month by SuperRatings. That caused many panicked investors to jump ship to more defensive super options. When a member switches from an equities-heavy growth fund to a more defensive option, or cash, the fund erodes its cash buffer which, in turn, increases non-cash allocations of the portfolio, such as unlisted assets, including infrastructure and property. A report released this month by Deutsche Bank said that at face value the super system seems cashed up, with deposits accounting for 10 per cent of total assets amounting to $240 billion. However, most of that cash is invested in Self-Managed Super Funds and the institutional sector has just 5 per cent of its assets in cash, amounting to about $80 billion. ""That wouldn't normally matter much, but the present situation is unique as policy changes to allow early access to super have coincided with a market sell-off,"" DB researcher Tim Baker wrote. ""It doesn't seem unreasonable to suggest that as many as a million people might consider drawing down [their super], which would mean a drain of $20 billion from the super system. That's one-quarter of the deposits on hand. ""This could impede super funds' ability to seek out opportunities in the midst of this market sell-off. And with superannuation balances no longer looking untouchable, funds might consider holding more liquidity permanently."" Switching to cash or drawing down early on your super means funds may have to sell some liquid assets, such as shares, to meet demand. This means the wider membership suffers by locking in losses and can also miss out on gains and growth opportunities once the market bounces back. There is a school of thought that suggests taking cash out now to avoid losses and re-investing on the way back up. However, guessing what the market will do is a fool's game and Mr Kelly says it is best to leave investment decisions to the experts. ""No one has a crystal ball,"" he says. ""Realistically, unless you have a specific skillset in timing the markets or you work in the industry, are you really in a better position than the fund itself, who has hired professionals, consultants and the like to manage your money?"" So, given the risks to your balance and that of others in the fund, it seems best to heed the advice of the industry and only access your super early as a last resort. Charlotte is a reporter for The Age. Copyright © 2020", ,"April 21, 2020"
9,/money/super-and-retirement/why-you-should-resist-the-urge-to-switch-or-redeem-super-20200417-p54kwe.html,Why you should resist the urge to switch or redeem super,"This is the superannuation industry's week of reckoning. Anyone who has lost work as a result of the coronavirus crisis is now able to withdraw $10,000 from their retirement savings. In June, the same cohort will be able to take out another $10,000. Switching to cash or drawing down early on your super means funds may have to sell some liquid assets, such as shares, to meet demand.Credit:AAP It is a self-approval system, so all you need to do is go to the Australian Taxation Office website, via your myGov account, sign an online declaration to say you have lost at least 20 per cent of your income and your super fund is then required to pay out your money within five business days. Best case scenario: The mammoth government stimulus package means only a small portion of Australians – those genuinely struggling to stay afloat – will take advantage of the scheme. Worst case scenario: Super funds freeze redemptions and their cash reserves dry up, meaning the sector cannot recapitalise the economy on the other side of the crisis and the balances of members who don’t access the scheme take a beating. The industry has done everything it can to get the message out: Only tap into your super as a last resort. Losses will be crystallised if super is withdrawn at the bottom of the market and the younger you are, compounding returns mean the greater the long-term damage to your retirement savings. So, how does calculating the value of you super balance actually work? To understand why your balance goes up and down, you have to grasp unit pricing. When you invest in super, you are actually buying units in an investment portfolio that change daily in value, based on market forces and value audits. ""In effect, the unit price is equal to the net asset value divided by the units on issue, so there is a price for each unit much like there is a price for each share on a stock exchange,"" Willis Towers Watson senior investment consultant Nick Kelly explains. Median growth funds fell by 12.5 per cent in March, according to research released this month by SuperRatings. That caused many panicked investors to jump ship to more defensive super options. When a member switches from an equities-heavy growth fund to a more defensive option, or cash, the fund erodes its cash buffer which, in turn, increases non-cash allocations of the portfolio, such as unlisted assets, including infrastructure and property. A report released this month by Deutsche Bank said that at face value the super system seems cashed up, with deposits accounting for 10 per cent of total assets amounting to $240 billion. However, most of that cash is invested in Self-Managed Super Funds and the institutional sector has just 5 per cent of its assets in cash, amounting to about $80 billion. ""That wouldn't normally matter much, but the present situation is unique as policy changes to allow early access to super have coincided with a market sell-off,"" DB researcher Tim Baker wrote. ""It doesn't seem unreasonable to suggest that as many as a million people might consider drawing down [their super], which would mean a drain of $20 billion from the super system. That's one-quarter of the deposits on hand. ""This could impede super funds' ability to seek out opportunities in the midst of this market sell-off. And with superannuation balances no longer looking untouchable, funds might consider holding more liquidity permanently."" Switching to cash or drawing down early on your super means funds may have to sell some liquid assets, such as shares, to meet demand. This means the wider membership suffers by locking in losses and can also miss out on gains and growth opportunities once the market bounces back. There is a school of thought that suggests taking cash out now to avoid losses and re-investing on the way back up. However, guessing what the market will do is a fool's game and Mr Kelly says it is best to leave investment decisions to the experts. ""No one has a crystal ball,"" he says. ""Realistically, unless you have a specific skillset in timing the markets or you work in the industry, are you really in a better position than the fund itself, who has hired professionals, consultants and the like to manage your money?"" So, given the risks to your balance and that of others in the fund, it seems best to heed the advice of the industry and only access your super early as a last resort. Charlotte is a reporter for The Age. Copyright © 2020", ,"April 21, 2020"
