,link,header,article,author,date
0,/politics/federal/australia-rejected-huge-offers-for-medical-supplies-20200424-p54mw7.html,Australia rejected huge offers for medical supplies,"A major Australian company paid for masks in a 90-tonne cargo flight from the Chinese city of Wuhan, the epicentre of the coronavirus, and then tried to offload them to the Australian government for a profit. The large Australian supplier's offer was rejected after it sourced the medical supplies from Wuhan after the crisis had largely passed there earlier this month. Hot property: Masks have been flying off the shelves.Credit:AAP As part of a strategy to lock in long-term deals and weed out dodgy products, the Australian government has rebuffed a number of unsolicited advances from private companies for hundreds of tonnes of medical supplies to fight COVID-19, The Sydney Morning Herald and The Age can reveal. In all but one case, the government has secured agreements with importers who had experience in sourcing the medical equipment. In some cases, Health Minister Greg Hunt has personally involved himself in negotiations to ensure the government was getting value for money. Mr Hunt said the Australian government's strategy from the beginning of the outbreak was to offer long-term deals, not big one-off deals at inflated prices. Replay   ""While early on there were attempts to sell masks at inflated prices, they were rejected,"" Mr Hunt said. ""What we offered and were able to secure was longer-term contracts for volume and time, not one-off inflated purchases."" In February, two teams were set up within the departments of health and industry to coordinate the national response to procuring supplies. They were charged with negotiating with major producers overseas and ramping up local production. Mr Hunt said he, Chief Medical Officer Brendan Murphy and Prime Minister Scott Morrison went for a policy of ""containment and capacity"". ""This was tested, refined and endorsed through a rigorous National Security Committee process,"" Mr Hunt said. ""We foresaw a great global rush for test kits and locked in our supply lines early. We also established procurement teams for masks, test kits and ventilators."" In other instances, high-level diplomacy has been needed behind the scenes on deals that, on the surface, looked like commercial agreements. In April, Australia reached a deal with Taiwan to send 1 million litres of alcohol to make sanitiser and vaccines in exchange for three tonnes of material to make face masks. The strategy to only focus on long-term deals has been credited with this week's decision to resume up to 25 per cent of elective surgery from Monday, weeks before any of the government's top health advisers expected. While the Australian government has not raised any issues with receiving faulty equipment, defective testing kits from China have been reported by governments in Britain, Spain, Turkey and the Netherlands. The desperation for supplies became so intense that Britain decided to accept a risky ""take-it-or-leave-it"" offer from two Chinese companies for two million home test kits for at least $20 million, which were later found to be faulty. In the United States a cheque worth $5.6 million for 1.5 million masks from a Chinese middleman was reportedly handed over in a McDonald's car park in Illinois. In the private sector, the combination of travel bans and sky-rocketing demand sent prices for masks through the roof. In some pharmacies across NSW and Victoria, the cost of a single N95 mask jumped from $1.30 to $38.50 - a 1500 per cent increase that has been referred to the Australian Competition and Consumer Commission. Chemist Warehouse chief operating officer Mario Tascone said there had been a ""lot of sharks"" in the market. ""I can see where other people can get into trouble out there,"" Mr Tascone said. Australian Medical Association president Tony Bartone said there had been ""massive competitive pressure put on dwindling amounts of production around the world"". ""I have colleagues overseas who have either fallen ill or lost their lives to COVID-19,"" he said. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Anthony is foreign affairs and national security correspondent for The Sydney Morning Herald and The Age. Eryk Bagshaw is an economics correspondent for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020"," Anthony Galloway , Eryk Bagshaw ","April 24, 2020"
1,/politics/federal/australia-rejected-huge-offers-for-medical-supplies-20200424-p54mw7.html,Australia rejected huge offers for medical supplies,"A major Australian company paid for masks in a 90-tonne cargo flight from the Chinese city of Wuhan, the epicentre of the coronavirus, and then tried to offload them to the Australian government for a profit. The large Australian supplier's offer was rejected after it sourced the medical supplies from Wuhan after the crisis had largely passed there earlier this month. Hot property: Masks have been flying off the shelves.Credit:AAP As part of a strategy to lock in long-term deals and weed out dodgy products, the Australian government has rebuffed a number of unsolicited advances from private companies for hundreds of tonnes of medical supplies to fight COVID-19, The Sydney Morning Herald and The Age can reveal. In all but one case, the government has secured agreements with importers who had experience in sourcing the medical equipment. In some cases, Health Minister Greg Hunt has personally involved himself in negotiations to ensure the government was getting value for money. Mr Hunt said the Australian government's strategy from the beginning of the outbreak was to offer long-term deals, not big one-off deals at inflated prices. Replay   ""While early on there were attempts to sell masks at inflated prices, they were rejected,"" Mr Hunt said. ""What we offered and were able to secure was longer-term contracts for volume and time, not one-off inflated purchases."" In February, two teams were set up within the departments of health and industry to coordinate the national response to procuring supplies. They were charged with negotiating with major producers overseas and ramping up local production. Mr Hunt said he, Chief Medical Officer Brendan Murphy and Prime Minister Scott Morrison went for a policy of ""containment and capacity"". ""This was tested, refined and endorsed through a rigorous National Security Committee process,"" Mr Hunt said. ""We foresaw a great global rush for test kits and locked in our supply lines early. We also established procurement teams for masks, test kits and ventilators."" In other instances, high-level diplomacy has been needed behind the scenes on deals that, on the surface, looked like commercial agreements. In April, Australia reached a deal with Taiwan to send 1 million litres of alcohol to make sanitiser and vaccines in exchange for three tonnes of material to make face masks. The strategy to only focus on long-term deals has been credited with this week's decision to resume up to 25 per cent of elective surgery from Monday, weeks before any of the government's top health advisers expected. While the Australian government has not raised any issues with receiving faulty equipment, defective testing kits from China have been reported by governments in Britain, Spain, Turkey and the Netherlands. The desperation for supplies became so intense that Britain decided to accept a risky ""take-it-or-leave-it"" offer from two Chinese companies for two million home test kits for at least $20 million, which were later found to be faulty. In the United States a cheque worth $5.6 million for 1.5 million masks from a Chinese middleman was reportedly handed over in a McDonald's car park in Illinois. In the private sector, the combination of travel bans and sky-rocketing demand sent prices for masks through the roof. In some pharmacies across NSW and Victoria, the cost of a single N95 mask jumped from $1.30 to $38.50 - a 1500 per cent increase that has been referred to the Australian Competition and Consumer Commission. Chemist Warehouse chief operating officer Mario Tascone said there had been a ""lot of sharks"" in the market. ""I can see where other people can get into trouble out there,"" Mr Tascone said. Australian Medical Association president Tony Bartone said there had been ""massive competitive pressure put on dwindling amounts of production around the world"". ""I have colleagues overseas who have either fallen ill or lost their lives to COVID-19,"" he said. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. Anthony is foreign affairs and national security correspondent for The Sydney Morning Herald and The Age. Eryk Bagshaw is an economics correspondent for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020"," Anthony Galloway , Eryk Bagshaw ","April 24, 2020"
2,/politics/federal/gas-revival-key-to-renewables-push-energy-minister-says-20200424-p54n2n.html,"Gas revival key to renewables push, Energy Minister says","Energy Minister Angus Taylor wants Australia to use the plummeting price of gas to support fast-start gas plants to get more renewable energy into the grid and deliver cheaper power to manufacturers. Coronavirus travel restrictions have caused a huge fall in global oil prices. The global gas market, which is tied to the oil price, has also dropped significantly. Angus Taylor wants Australia to use the plummeting price of gas to support fast-start gas plants. Mr Taylor expects the newly-cheap fuel supply to bring on investment in so-called fast-start gas plants, which he says will fill gaps in the energy grid created by the switch to renewable energy. ""We've seen a very significant reduction in gas prices, which is likely to be sustained for a number of years,"" Mr Taylor told The Sydney Morning Herald and The Age. ""It's a big opportunity not just for Australian manufacturing with lower energy costs, but also to support continued investment in renewables. ""The lower cost of gas as a stimulus is very, very important. It can help to reduce emissions, can help to encourage investment in manufacturing, and obviously has direct benefits for households and small businesses who use gas."" While not as big as Australia's traditional fleet of ageing, large scale baseload power generators, fast-start gas plants can rapidly rev up and provide so-called dispatchable power supply when large scale wind and solar generators lack their natural inputs. East Coast wholesale gas sold for $4.30 a gigajoule on the spot market this week, down from contract prices that ranged up to $12 a gigajoule earlier this year. ""Gas-related projects look much more attractive at a lower price. So whether it's an electricity generator or an ammonia plant, ethanol or petrochemicals, it creates great opportunity,"" Mr Taylor said. ""More gas means more capacity to absorb renewables [into the grid] because gas is flexible, dispatchable generation."" Mr Taylor said Australia has to ""remain competitive in upstream gas"", but that doesn't necessarily mean more onshore drilling. Victoria has removed its ban on onshore conventional gas extraction in a bid to increase supply and Santos is forging ahead with a gas project at Narrabri, NSW. Meanwhile, AGL is developing plans for an import terminal at Crib Point in Victoria, and a consortium backed by Andrew Forrest has been approved by NSW government to double the size of its planned import terminal at Port Kembla. Former BP Australasia president and Climate Council councillor Greg Bourne expects one of the proposed gas import terminals for the East Coast, which can be built more quickly and cheaply than an onshore or offshore gas field, to be developed in the near future, to capitalise on the low oil price. ""I think that would completely remove the need for Australia to worry about its onshore production capacity,"" Mr Bourne said. Mr Taylor expected growth in gas supply to ""come from natural competitiveness rather than from a huge government subsidies"" which requires ""the government to make sure that the right regulatory frameworks and reforms are in place"". Experts say for Australia to meet its commitment to the Paris Agreement, fossil fuel use must start to decline immediately, and that the contribution to global warming from gas as industrial fuel has been underestimated. Australia's export royalties could take a big hit in the fuel price crunch. Earlier this week EnergyQuest chief executive Graeme Bethune said LNG export revenue could fall by as much as $20 billion. Mike is the climate and energy correspondent for The Age and The Sydney Morning Herald. Copyright © 2020", Mike Foley ,"April 24, 2020"
3,/politics/federal/gas-revival-key-to-renewables-push-energy-minister-says-20200424-p54n2n.html,"Gas revival key to renewables push, Energy Minister says","Energy Minister Angus Taylor wants Australia to use the plummeting price of gas to support fast-start gas plants to get more renewable energy into the grid and deliver cheaper power to manufacturers. Coronavirus travel restrictions have caused a huge fall in global oil prices. The global gas market, which is tied to the oil price, has also dropped significantly. Angus Taylor wants Australia to use the plummeting price of gas to support fast-start gas plants. Mr Taylor expects the newly-cheap fuel supply to bring on investment in so-called fast-start gas plants, which he says will fill gaps in the energy grid created by the switch to renewable energy. ""We've seen a very significant reduction in gas prices, which is likely to be sustained for a number of years,"" Mr Taylor told The Sydney Morning Herald and The Age. ""It's a big opportunity not just for Australian manufacturing with lower energy costs, but also to support continued investment in renewables. ""The lower cost of gas as a stimulus is very, very important. It can help to reduce emissions, can help to encourage investment in manufacturing, and obviously has direct benefits for households and small businesses who use gas."" While not as big as Australia's traditional fleet of ageing, large scale baseload power generators, fast-start gas plants can rapidly rev up and provide so-called dispatchable power supply when large scale wind and solar generators lack their natural inputs. East Coast wholesale gas sold for $4.30 a gigajoule on the spot market this week, down from contract prices that ranged up to $12 a gigajoule earlier this year. ""Gas-related projects look much more attractive at a lower price. So whether it's an electricity generator or an ammonia plant, ethanol or petrochemicals, it creates great opportunity,"" Mr Taylor said. ""More gas means more capacity to absorb renewables [into the grid] because gas is flexible, dispatchable generation."" Mr Taylor said Australia has to ""remain competitive in upstream gas"", but that doesn't necessarily mean more onshore drilling. Victoria has removed its ban on onshore conventional gas extraction in a bid to increase supply and Santos is forging ahead with a gas project at Narrabri, NSW. Meanwhile, AGL is developing plans for an import terminal at Crib Point in Victoria, and a consortium backed by Andrew Forrest has been approved by NSW government to double the size of its planned import terminal at Port Kembla. Former BP Australasia president and Climate Council councillor Greg Bourne expects one of the proposed gas import terminals for the East Coast, which can be built more quickly and cheaply than an onshore or offshore gas field, to be developed in the near future, to capitalise on the low oil price. ""I think that would completely remove the need for Australia to worry about its onshore production capacity,"" Mr Bourne said. Mr Taylor expected growth in gas supply to ""come from natural competitiveness rather than from a huge government subsidies"" which requires ""the government to make sure that the right regulatory frameworks and reforms are in place"". Experts say for Australia to meet its commitment to the Paris Agreement, fossil fuel use must start to decline immediately, and that the contribution to global warming from gas as industrial fuel has been underestimated. Australia's export royalties could take a big hit in the fuel price crunch. Earlier this week EnergyQuest chief executive Graeme Bethune said LNG export revenue could fall by as much as $20 billion. Mike is the climate and energy correspondent for The Age and The Sydney Morning Herald. Copyright © 2020", Mike Foley ,"April 24, 2020"
4,/politics/federal/schools-safe-say-commonwealth-medical-experts-20200424-p54n25.html,"Schools safe, say commonwealth medical experts","The nation's peak health advisers have backed a return to teaching in school classrooms as new figures reveal only seven active cases of the COVID-19 virus among children and teenagers across NSW and Victoria. The new guidance confirms teachers and students will not need to stay more than 1.5 metres away from each other in the classroom, pushing back against union demands for continued online learning at home. Prime Minister Scott Morrison says the 1.5 metre social distancing rules don't apply in classrooms.Credit:Shutterstock While state governments are at odds over when to bring all students back to school, the state and federal chief medical officers issued updated advice to assure parents the classrooms could be kept safe. NSW health officials are also preparing to release a report this weekend that has not found significant evidence that children are transmitting the virus in schools, even in cases where students were found to be infected. Prime Minister Scott Morrison emerged from a national cabinet meeting on Friday to urge teachers to return to work like supermarket workers, bus drivers and others who were working while meeting rules designed to prevent the spread of the virus. ""Their risk is not in the classroom – their risk is in the staff room,"" he said of the teachers. Replay   State figures show that infections among school-age children make up a very small proportion of COVID-19 cases across the country. People aged 19 and under accounted for 122 cases of the virus in NSW out of a state total of 2976, according to figures up to Thursday night. All but five of these have recovered. The same age group accounted for 58 cases in Victoria out of a state total of 1343 people as at Friday morning, with all but two recovered. One the active cases is a teenage boy and the other is a girl aged 4 and under. Of the 1026 cases in Queensland up to midday on Friday, only 48 were aged 19 or under. but the state government declined to say how many had recovered. There have been 17 cases in South Australia among those aged 19 and under, out of a state total of 438, and all have recovered. There are more than 1.2 million school students in NSW, more than 990,000 in Victoria and more than 830,000 in Queensland, according to the Australian Bureau of Statistics. Mr Morrison said the updated advice from the Australian Health Protection Principal Committee – made up of federal and state chief medical officers – did not require classrooms to meet the social distancing rules for other spaces. The usual rules are for people to stay 1.5 metres away from each other and for internal spaces to be limited to one person for every four square metres. ""They need to ensure they have social distancing happening in the lunch room and the staff room and at drop off and at pick up and their engagement with parents,"" he told Sky News on Friday after the national cabinet meeting. ""But retailers are doing the same thing right now. People are doing it in manufacturing plants, on construction sites, workers are doing it."" Commonwealth Chief Medical Officer Brendan Murphy said the risk of transmission in schools was low because COVID-19 was very different to influenza, which spread quickly among the young. ""Most children who have contracted the virus in Australia have contracted it in the family home,"" Professor Murphy said. Asked whether the low rates among children reflected a lack of testing in that age group, Professor Murphy rejected this concern and pointed to the imminent NSW study. ""We don't have evidence of significant infection in children, and, more importantly, we are not seeing evidence of significant transmission amongst children in schools,"" he said. ""New South Wales Health have just done a very large study looking at some infections that have occurred in the school setting and have tested a lot of children [and] have not found evidence that children are transmitting this virus in schools."" The report by the National Centre for Immunisation Research and Surveillance for NSW Health is due to be released on Sunday. In another clash between federal and state governments on schools, Home Affairs Minister Peter Dutton accused Queensland premier Annastacia Palaszczuk of ""running scared"" of the Queensland Teachers' Union because she would not resume full classes. The union told members they should not allow too many children back to the classroom because it would be ""physically impossible"" to meet the social distancing rules, but the statement was made before the AHPPC confirmed the 1.5 metre rule did not apply. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. David Crowe is chief political correspondent for The Sydney Morning Herald and The Age. Copyright © 2020", David Crowe ,"April 24, 2020"
5,/politics/federal/schools-safe-say-commonwealth-medical-experts-20200424-p54n25.html,"Schools safe, say commonwealth medical experts","The nation's peak health advisers have backed a return to teaching in school classrooms as new figures reveal only seven active cases of the COVID-19 virus among children and teenagers across NSW and Victoria. The new guidance confirms teachers and students will not need to stay more than 1.5 metres away from each other in the classroom, pushing back against union demands for continued online learning at home. Prime Minister Scott Morrison says the 1.5 metre social distancing rules don't apply in classrooms.Credit:Shutterstock While state governments are at odds over when to bring all students back to school, the state and federal chief medical officers issued updated advice to assure parents the classrooms could be kept safe. NSW health officials are also preparing to release a report this weekend that has not found significant evidence that children are transmitting the virus in schools, even in cases where students were found to be infected. Prime Minister Scott Morrison emerged from a national cabinet meeting on Friday to urge teachers to return to work like supermarket workers, bus drivers and others who were working while meeting rules designed to prevent the spread of the virus. ""Their risk is not in the classroom – their risk is in the staff room,"" he said of the teachers. Replay   State figures show that infections among school-age children make up a very small proportion of COVID-19 cases across the country. People aged 19 and under accounted for 122 cases of the virus in NSW out of a state total of 2976, according to figures up to Thursday night. All but five of these have recovered. The same age group accounted for 58 cases in Victoria out of a state total of 1343 people as at Friday morning, with all but two recovered. One the active cases is a teenage boy and the other is a girl aged 4 and under. Of the 1026 cases in Queensland up to midday on Friday, only 48 were aged 19 or under. but the state government declined to say how many had recovered. There have been 17 cases in South Australia among those aged 19 and under, out of a state total of 438, and all have recovered. There are more than 1.2 million school students in NSW, more than 990,000 in Victoria and more than 830,000 in Queensland, according to the Australian Bureau of Statistics. Mr Morrison said the updated advice from the Australian Health Protection Principal Committee – made up of federal and state chief medical officers – did not require classrooms to meet the social distancing rules for other spaces. The usual rules are for people to stay 1.5 metres away from each other and for internal spaces to be limited to one person for every four square metres. ""They need to ensure they have social distancing happening in the lunch room and the staff room and at drop off and at pick up and their engagement with parents,"" he told Sky News on Friday after the national cabinet meeting. ""But retailers are doing the same thing right now. People are doing it in manufacturing plants, on construction sites, workers are doing it."" Commonwealth Chief Medical Officer Brendan Murphy said the risk of transmission in schools was low because COVID-19 was very different to influenza, which spread quickly among the young. ""Most children who have contracted the virus in Australia have contracted it in the family home,"" Professor Murphy said. Asked whether the low rates among children reflected a lack of testing in that age group, Professor Murphy rejected this concern and pointed to the imminent NSW study. ""We don't have evidence of significant infection in children, and, more importantly, we are not seeing evidence of significant transmission amongst children in schools,"" he said. ""New South Wales Health have just done a very large study looking at some infections that have occurred in the school setting and have tested a lot of children [and] have not found evidence that children are transmitting this virus in schools."" The report by the National Centre for Immunisation Research and Surveillance for NSW Health is due to be released on Sunday. In another clash between federal and state governments on schools, Home Affairs Minister Peter Dutton accused Queensland premier Annastacia Palaszczuk of ""running scared"" of the Queensland Teachers' Union because she would not resume full classes. The union told members they should not allow too many children back to the classroom because it would be ""physically impossible"" to meet the social distancing rules, but the statement was made before the AHPPC confirmed the 1.5 metre rule did not apply. Get our Coronavirus Update newsletter for the day's crucial developments at a glance, the numbers you need to know and what our readers are saying. Sign up to The Sydney Morning Herald's newsletter here and The Age's here. David Crowe is chief political correspondent for The Sydney Morning Herald and The Age. Copyright © 2020", David Crowe ,"April 24, 2020"
6,/politics/federal/systematic-failing-children-need-special-services-in-bushfire-aftermath-20200424-p54mux.html,'Systematic failing': Children need special services in bushfire aftermath,"Children in Australia's bushfire-affected communities did not have access to critical support services or safe places to spend their time, the royal commission into the summer's disaster has been told, in a failing which could risk their long-term mental heath. Save The Children has called out a ""systematic failing"" in the immediate response to the devastating bushfires in Victoria, NSW and South Australian over the New Year, saying local councils and state governments have ignored warnings about the damage natural disasters can have on young people. A child from Braidwood watches the North Black Range bushfire in November last year.Credit:Alex Ellinghausen The organisation's submission to the inquiry into the fires, which resulted in 33 deaths and the destruction of hundreds of properties, has called for all responses to future disasters to establishing ""child-friendly spaces"" as an essential service in every evacuation, relief and recovery centre. In a damning appraisal of the response, the submission says children's needs in bushfire-affected communities were commonly thought of as secondary to those of their parents or other adults and treated as ""encumbrances"" to adults who needed child-minding. ""There was a systematic lack of understanding of children's specific need for adequate mental health and psychosocial support in the immediate aftermath, to support their longer-term recovery and their resilience and ensure their uninterrupted psychosocial, emotional and cognitive development,"" it says. Matt Gardiner, Save the Children's executive director of Australian services, said while the level of support in the aftermath of the fires was ""incredible"", the needs of children was one largely forgotten. A 2014 report from the organisation found a lack of consistent emergency management planning for the unique needs of children in Australian emergency management plans. Replay   ""Children went through incredible hardship during the bushfires. Some were separated from parents who stayed back to fight the fires, others lost homes or pets. Many witnessed terrifying things and feared for their lives,"" Mr Gardiner said. ""Unfortunately, the bushfire response did not adequately cater to the unique needs of children, and as a result many suffered unnecessarily when appropriate and systematic support could have alleviated this,"" Mr Gardiner said. He said with extreme and catastrophic environmental events forecast to become more frequent, children needed to be prioritised alongside other essential services in future emergencies. The submission said children often stayed in evacuation centres that were ""chaotic"" and filled with long queues and exhausted and overwhelmed people and needed to have been provided with play-based activities to assist them to process their experiences. ""We cannot underestimate the impact of this experience on a child's emotional wellbeing, and the longer-term mental health impacts it can cause if not properly addressed,"" Mr Gardiner said. ""While the world is rightly focused on the global pandemic, we must not neglect the children who experienced the bushfires firsthand and may be suffering a compounding effect right now. In response to the bushfires Save the Children established 10 child-friendly spaces in evacuation, relief and recovery centres in NSW, Victoria and South Australia, reaching more than 1000 children, parents and carers. It said a range of barriers had prevented a much larger response, such as the lack of a systematic mechanism, including funding, to ensure child-appropriate support was provided in all contexts. It said where the organisation was granted access to set up child-friendly spaces, it was often done so several days after the centre had opened, without strong coordination with existing services, and on occasion, in parts of the centres that were not ideal for children. The commission, which began public hearings earlier this month, is examining coordination, preparedness for, response to, and recovery from disasters and the role of the Commonwealth in responding to national emergencies. Rob Harris is the National Affairs Editor for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Rob Harris ,"April 25, 2020"
7,/politics/federal/systematic-failing-children-need-special-services-in-bushfire-aftermath-20200424-p54mux.html,'Systematic failing': Children need special services in bushfire aftermath,"Children in Australia's bushfire-affected communities did not have access to critical support services or safe places to spend their time, the royal commission into the summer's disaster has been told, in a failing which could risk their long-term mental heath. Save The Children has called out a ""systematic failing"" in the immediate response to the devastating bushfires in Victoria, NSW and South Australian over the New Year, saying local councils and state governments have ignored warnings about the damage natural disasters can have on young people. A child from Braidwood watches the North Black Range bushfire in November last year.Credit:Alex Ellinghausen The organisation's submission to the inquiry into the fires, which resulted in 33 deaths and the destruction of hundreds of properties, has called for all responses to future disasters to establishing ""child-friendly spaces"" as an essential service in every evacuation, relief and recovery centre. In a damning appraisal of the response, the submission says children's needs in bushfire-affected communities were commonly thought of as secondary to those of their parents or other adults and treated as ""encumbrances"" to adults who needed child-minding. ""There was a systematic lack of understanding of children's specific need for adequate mental health and psychosocial support in the immediate aftermath, to support their longer-term recovery and their resilience and ensure their uninterrupted psychosocial, emotional and cognitive development,"" it says. Matt Gardiner, Save the Children's executive director of Australian services, said while the level of support in the aftermath of the fires was ""incredible"", the needs of children was one largely forgotten. A 2014 report from the organisation found a lack of consistent emergency management planning for the unique needs of children in Australian emergency management plans. Replay   ""Children went through incredible hardship during the bushfires. Some were separated from parents who stayed back to fight the fires, others lost homes or pets. Many witnessed terrifying things and feared for their lives,"" Mr Gardiner said. ""Unfortunately, the bushfire response did not adequately cater to the unique needs of children, and as a result many suffered unnecessarily when appropriate and systematic support could have alleviated this,"" Mr Gardiner said. He said with extreme and catastrophic environmental events forecast to become more frequent, children needed to be prioritised alongside other essential services in future emergencies. The submission said children often stayed in evacuation centres that were ""chaotic"" and filled with long queues and exhausted and overwhelmed people and needed to have been provided with play-based activities to assist them to process their experiences. ""We cannot underestimate the impact of this experience on a child's emotional wellbeing, and the longer-term mental health impacts it can cause if not properly addressed,"" Mr Gardiner said. ""While the world is rightly focused on the global pandemic, we must not neglect the children who experienced the bushfires firsthand and may be suffering a compounding effect right now. In response to the bushfires Save the Children established 10 child-friendly spaces in evacuation, relief and recovery centres in NSW, Victoria and South Australia, reaching more than 1000 children, parents and carers. It said a range of barriers had prevented a much larger response, such as the lack of a systematic mechanism, including funding, to ensure child-appropriate support was provided in all contexts. It said where the organisation was granted access to set up child-friendly spaces, it was often done so several days after the centre had opened, without strong coordination with existing services, and on occasion, in parts of the centres that were not ideal for children. The commission, which began public hearings earlier this month, is examining coordination, preparedness for, response to, and recovery from disasters and the role of the Commonwealth in responding to national emergencies. Rob Harris is the National Affairs Editor for The Sydney Morning Herald and The Age, based at Parliament House in Canberra Copyright © 2020", Rob Harris ,"April 25, 2020"
8,/politics/federal/treasurer-closes-loopholes-fixes-problems-with-jobkeeper-20200424-p54mzb.html,"Treasurer closes loopholes, fixes problems with JobKeeper","A series of problems with the Morrison government's $130 billion JobKeeper program have been resolved amid growing concerns about its feasibility for many small businesses. Treasurer Josh Frydenberg announced a string of changes to the pandemic response program late on Friday afternoon, which the government had put in place to keep workers linked to their employers. Treasurer Josh Frydenberg has made some changes to the JobKeeper wage program.Credit:Alex Ellinghausen While broadly welcomed by the business community with more than 400,000 formally enrolling in the scheme this week, there have been a series of complaints about its structure and operation. They include pressures on small businesses to find a month's worth of wage payments upfront, much higher wages for almost 1.7 million part-time workers, rules governing charities and even the structure of firms. Accountants have discovered many firms have their employees listed in separate companies that fail the JobKeeper requirement to suffer a 30 per cent fall in income for operations with less than $1 billion revenue. Mr Frydenberg said on Friday that in order to protect the integrity and efficient operation of JobKeeper, a separate fall in turnover test would be created for firms that use a special purpose entity to employ their staff rather than being directly employed. The new test will include combined GST turnovers of the companies that use the entity which employs a firm's staff. The Sydney Morning Herald and The Age revealed this week concern even within businesses about the flat $1500 wage subsidy as it applied to young people earning a small amount of money. They would be paid the $1500 fortnight under the government's original design even if they were receiving less than $100. That has been now changed. ""The rules will provide that full time students who are 17 years old and younger, and who are not financially independent, are not eligible for the JobKeeper payment,"" the Treasurer said. Replay   Charities had complained that under JobKeeper they may be prevented from getting assistance if they received government payments for associated services such as aged care facilities. That will be changed, with charities able to exclude government revenue from their JobKeeper application. Priests, nuns and pastors will now be able to come under the scheme. Rules around businesses deciding which staff are covered by JobKeeper have been formalised, with Mr Frydenberg saying employers cannot select which of their eligible staff can participate in the scheme. There have been growing complaints from businesses about the time it is taking for them to get formal approval from their banks for overdrafts or loans to cover their upfront wages bills. Banks are now putting in place hotlines for businesses to fast track their applications. ""The banks have also agreed to bring JobKeeper-related applications to the front of the queue and work with the ATO to accelerate the finance assessment process,"" Mr Frydenberg said. Shane is a senior economics correspondent for The Age and The Sydney Morning Herald. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Copyright © 2020"," Shane Wright , Nick Bonyhady ","April 24, 2020"
9,/politics/federal/treasurer-closes-loopholes-fixes-problems-with-jobkeeper-20200424-p54mzb.html,"Treasurer closes loopholes, fixes problems with JobKeeper","A series of problems with the Morrison government's $130 billion JobKeeper program have been resolved amid growing concerns about its feasibility for many small businesses. Treasurer Josh Frydenberg announced a string of changes to the pandemic response program late on Friday afternoon, which the government had put in place to keep workers linked to their employers. Treasurer Josh Frydenberg has made some changes to the JobKeeper wage program.Credit:Alex Ellinghausen While broadly welcomed by the business community with more than 400,000 formally enrolling in the scheme this week, there have been a series of complaints about its structure and operation. They include pressures on small businesses to find a month's worth of wage payments upfront, much higher wages for almost 1.7 million part-time workers, rules governing charities and even the structure of firms. Accountants have discovered many firms have their employees listed in separate companies that fail the JobKeeper requirement to suffer a 30 per cent fall in income for operations with less than $1 billion revenue. Mr Frydenberg said on Friday that in order to protect the integrity and efficient operation of JobKeeper, a separate fall in turnover test would be created for firms that use a special purpose entity to employ their staff rather than being directly employed. The new test will include combined GST turnovers of the companies that use the entity which employs a firm's staff. The Sydney Morning Herald and The Age revealed this week concern even within businesses about the flat $1500 wage subsidy as it applied to young people earning a small amount of money. They would be paid the $1500 fortnight under the government's original design even if they were receiving less than $100. That has been now changed. ""The rules will provide that full time students who are 17 years old and younger, and who are not financially independent, are not eligible for the JobKeeper payment,"" the Treasurer said. Replay   Charities had complained that under JobKeeper they may be prevented from getting assistance if they received government payments for associated services such as aged care facilities. That will be changed, with charities able to exclude government revenue from their JobKeeper application. Priests, nuns and pastors will now be able to come under the scheme. Rules around businesses deciding which staff are covered by JobKeeper have been formalised, with Mr Frydenberg saying employers cannot select which of their eligible staff can participate in the scheme. There have been growing complaints from businesses about the time it is taking for them to get formal approval from their banks for overdrafts or loans to cover their upfront wages bills. Banks are now putting in place hotlines for businesses to fast track their applications. ""The banks have also agreed to bring JobKeeper-related applications to the front of the queue and work with the ATO to accelerate the finance assessment process,"" Mr Frydenberg said. Shane is a senior economics correspondent for The Age and The Sydney Morning Herald. Nick Bonyhady is industrial relations reporter for The Sydney Morning Herald and The Age, based between Sydney and Parliament House in Canberra. Copyright © 2020"," Shane Wright , Nick Bonyhady ","April 24, 2020"
