,link,header,article,author,date
0,/technology/privacy-advocates-raise-concerns-as-facebook-s-chat-for-kids-rolls-out-20200423-p54mkg.html,Privacy advocates raise concerns as Facebook's chat for kids rolls out,"Privacy advocates have raised concerns about Facebook's Messenger Kids app, warning that data collected from it likely makes its way into profiles and analytics used by the company, which has previously found itself under fire for mishandling user data on multiple occasions. The app, which is available in Australia now through Apple's App Store and is expected to be in Google Play by the end of the week, provides children under 13 with a way to video chat with friends and family under remote parental supervision. It does not require kids to sign up for a Facebook account; instead parents use their own account and app to get their children set up and monitor who they talk to. Messenger Kids gives parents full control of their children's communication, Facebook says. While the app could be handy to provide kids with autonomy over when they chat to friends and family during home isolation, Australian privacy tech not-for-profit Loki Foundation has raised concerns about long term use. ""Facebook is the best company in the world at profiling people ... and the privacy policy they’ve put in place for Messenger Kids isn’t a very strong protection against a company geared towards collecting and using every last drop of information possible,"" Loki chief executive Simon Harman said. ""By locking kids into the Facebook ecosystem, parents are signing them up to be tracked and profiled. By the time these kids sign up for 'actual' Facebook, the company will already have a detailed social graph to utilise."" A spokesperson for Facebook said there were no ads or in-app purchases in the app, and data collected through the app was not used to target ads. Children are able to sign up for a full Facebook account once they are 13, but the company does not automatically convert Messenger Kids accounts to full Facebook accounts. The social media giant said it included strong privacy protections and consulted with a team of online safety and child development experts to develop and maintain the app. Parents can keep track of who their children are talking to, anyone they block and any images shared. The app puts parents in charge of who gets added as contacts. This could include adult family and friends — who can chat with the child through their standard Messenger app — or the children of friends who are also using Messenger Kids. An upcoming update will allow kids to be more active in finding and approving friends, but parents will be able to turn this off or overrule kids' decisions. Just last year Facebook was made to pay a $US5 billion fine for breaching user privacy, after data captured from Facebook accounts was used for illegal profiling by a third party. The Messenger Kids app was also in the news for privacy issues last year following its launch in the United States. A design flaw had allowed kids to join group chats with friends of friends who were not approved by parents. Since then the company has racheted up privacy and parent transparency in the app, while also adding features that teach kids about communicating responsibly online, but not everyone is convinced. ""It is great to see Facebook add more controls for parents under these recent updates,"" said Katis McInnis, policy counsel for Consumer Reports in the US, following Facebook's privacy-minded changes in February. ""That said, Parents should think carefully about whether they want their youngest kids on a messaging app at all, given past issues with Facebook's handling of personal data."" The Australian rollout of the app follows the introduction of Spotify Kids, which provides children with their own music library and playlists. Tim is the editor of The Age and Sydney Morning Herald technology sections. Copyright © 2020", Tim Biggs ,"April 24, 2020"
1,/technology/privacy-advocates-raise-concerns-as-facebook-s-chat-for-kids-rolls-out-20200423-p54mkg.html,Privacy advocates raise concerns as Facebook's chat for kids rolls out,"Privacy advocates have raised concerns about Facebook's Messenger Kids app, warning that data collected from it likely makes its way into profiles and analytics used by the company, which has previously found itself under fire for mishandling user data on multiple occasions. The app, which is available in Australia now through Apple's App Store and is expected to be in Google Play by the end of the week, provides children under 13 with a way to video chat with friends and family under remote parental supervision. It does not require kids to sign up for a Facebook account; instead parents use their own account and app to get their children set up and monitor who they talk to. Messenger Kids gives parents full control of their children's communication, Facebook says. While the app could be handy to provide kids with autonomy over when they chat to friends and family during home isolation, Australian privacy tech not-for-profit Loki Foundation has raised concerns about long term use. ""Facebook is the best company in the world at profiling people ... and the privacy policy they’ve put in place for Messenger Kids isn’t a very strong protection against a company geared towards collecting and using every last drop of information possible,"" Loki chief executive Simon Harman said. ""By locking kids into the Facebook ecosystem, parents are signing them up to be tracked and profiled. By the time these kids sign up for 'actual' Facebook, the company will already have a detailed social graph to utilise."" A spokesperson for Facebook said there were no ads or in-app purchases in the app, and data collected through the app was not used to target ads. Children are able to sign up for a full Facebook account once they are 13, but the company does not automatically convert Messenger Kids accounts to full Facebook accounts. The social media giant said it included strong privacy protections and consulted with a team of online safety and child development experts to develop and maintain the app. Parents can keep track of who their children are talking to, anyone they block and any images shared. The app puts parents in charge of who gets added as contacts. This could include adult family and friends — who can chat with the child through their standard Messenger app — or the children of friends who are also using Messenger Kids. An upcoming update will allow kids to be more active in finding and approving friends, but parents will be able to turn this off or overrule kids' decisions. Just last year Facebook was made to pay a $US5 billion fine for breaching user privacy, after data captured from Facebook accounts was used for illegal profiling by a third party. The Messenger Kids app was also in the news for privacy issues last year following its launch in the United States. A design flaw had allowed kids to join group chats with friends of friends who were not approved by parents. Since then the company has racheted up privacy and parent transparency in the app, while also adding features that teach kids about communicating responsibly online, but not everyone is convinced. ""It is great to see Facebook add more controls for parents under these recent updates,"" said Katis McInnis, policy counsel for Consumer Reports in the US, following Facebook's privacy-minded changes in February. ""That said, Parents should think carefully about whether they want their youngest kids on a messaging app at all, given past issues with Facebook's handling of personal data."" The Australian rollout of the app follows the introduction of Spotify Kids, which provides children with their own music library and playlists. Tim is the editor of The Age and Sydney Morning Herald technology sections. Copyright © 2020", Tim Biggs ,"April 24, 2020"
2,/technology/the-new-iphone-se-20200423-p54mls.html,,Replay   Copyright © 2020,,
3,/technology/the-new-iphone-se-20200423-p54mls.html,,Replay   Copyright © 2020,,
4,/technology/video-games/playstation-5-xbox-scarlett-what-we-know-about-the-next-gen-consoles-20191009-p52yzz.html,"PlayStation 5, Xbox Series X: what we know about the next-gen consoles","The global pandemic may have taken quite a lot of wind out of their sails, but right now Microsoft and Sony are both saying they're committed to launching brand new game consoles in 2020. Early details paint a picture of significantly more powerful machines that can launch into the middle of a game in an instant, and work with many of the games you've amassed over the past six years. Specifically, here's what we know so far about the next generation of consoles, and then some speculation on which will end up being the more powerful. The PlayStation 5 DualSense. The PS5 has been confirmed for launch in ""holiday 2020"", but we still haven't seen what the machine looks like. We have, however, had a good look at the controller. Dropping the DualShock moniker Sony has used on and off since 1997, the DualSense looks like quite an ergonomic redesign with longer and more curved handles, but the same linear stick layout. The dual tone colour scheme is also pretty out there as far as standard pads go, which could give some idea as to the look of the system. The triggers have seen the most love in terms of new functionality, with additional haptic feedback motors and tech that allows developers to set the tension. That means the trigger could be easier or firmer to pull back depending on your in-game vehicle, weapon etc. There is also now a microphone and speaker embedded in the pad, so you can have quick chats with other players with no headset required. Finally the buttons and other inputs are largely the same as on the DualShock 4, though the Share button has been renamed ""Create"", indicating there may be more ways to package and broadcast your gameplay than simply posting screenshots or videos to Twitter. The official PS5 logo is very similar to that of the PS4. As for the internals of the machine itself, in March system architect Mark Cerny laid out the nerdy specs while leaving a lot of the more consumer-friendly details to our imaginations. Combined with the few tidbits we learned from earlier exclusive interviews with WIRED, we have a decent overview: Importantly Sony has committed to backwards compatibility, meaning your PS4 games and PSVR headset will work on PS5. However the more details about this that come out, the more questions there are. The PS5's custom GPU has legacy modes for PS4 and PS4 Pro, meaning those games might not be visually improved on the new console but they should work without too much developer tweaking. Yet Sony has stopped short of saying all PS4 games will work, confirming instead that ""most"" of the 100 best-selling titles would work at launch, with more to come. At this point PS3 and older compatibility seems unlikely, barring a cloud processing solution. In December, at The Game Awards, Microsoft gaming boss Phil Spencer unveiled the Xbox Series X; a tall black obelisk that more closely resembles a compact PC tower than a traditional console. The look reflects a change of focus at Xbox which has been taking place since Spencer took over in the middle of the current generation. Xbox is now less a line of machines and more an ecosystem of games you can access from any number of machines — including PCs and various consoles, and soon any device with a screen thanks to the cloud — and in some ways the Series X is merely a more powerful system in the same line as current Xbox devices. For example Microsoft isn't planning to make exclusive games for the Series X in the first year after the console launches; all its new games will work on the existing Xbox One as well. Additionally, every single game you own that works on Xbox One — including Xbox 360 and original Xbox games — should work on Series X and will be able to take advantage of its new tech for better load times, higher resolution, better frame rates and even HDR visuals (applied via an AI software solution). Microsoft has detailed a technology called Smart Delivery, in which games you've bought from the store will download in the appropriate format for your devices. For example if you buy Halo 5 on Xbox One, downloading it on Series X could get you a version totally reworked for that console rather than the Xbox One version, at no extra cost. Microsoft will use this mechanism for all its games, but says other developers may choose to sell separate Xbox One and Xbox Series X versions if they want (though both will work on Series X). As for the internals of the Series X, Spencer has detailed them fairly thoroughly: While Microsoft has said all Xbox One accessories will work on Series X, the console's hardware design would indicate the truth isn't so straightforward. There is no longer an HDMI-in, so if you're one of the few people running your TV set-top box through your console you may be disappointed. The optical audio port has also been ditched, leaving it unclear how headsets which rely on that will work with the Series X. There's also of course no Kinect port, and I'd be very surprised if the Series X will work with Microsoft's ill-fated depth camera/microphone even if you plugged one in with an adapter. All Xbox One controllers will work here, including the recent Elite Series 2, and the newly redesigned controller packaged with the Series X will play friendly with your old Xbox One too. The new controller has seen only slight tweaks in shape, with a new directional pad and share button the only obvious changes. Microsoft is working on improving latency between the controller and screen, and says Xbox One controllers will be able to reap the benefits via a software update. On paper the consoles are very similar, using the same architecture for their chips, packing the same amount of RAM and each with a cutting edge SSD for storage. Comparing the two really comes down to the nitty gritty. Both Sony's CPU and GPU operate a lot like a desktop processor; working at full speed when required and if it isn't getting too hot, and throttling back to cool or when there isn't much going on. The CPU's max frequency is 3.5Ghz. On the Xbox, the CPU will stay at either 3.8Ghz or 3.6Ghz depending on whether the developer has opted to use it in a single- or multi- thread mode. Either way, on paper, it's faster than PS5. On the GPU Sony's silicon packs fewer compute units but a faster frequency than Microsoft's, meaning the Series X again wins on raw power. Even for tasks that might benefit from the PS5's higher clocks, you again need to consider they will dip under high temperatures. A lot will depend on Sony's thermal design. So taking all the numbers at face value, the next-gen Xbox would offer a significant advantage over the next-gen PlayStation, but it's worth taking that conclusion with a grain of salt. For starters there's still a lot about the consoles we don't know, and there's always the X factor of what individual developers will manage to do within the limitations of hardware. The PlayStation 4 Pro is less powerful than the Xbox One X, for example, but it's a moot argument if you're comparing God of War to Crackdown 3. And then looking beyond power to which machine will be more popular, you have to consider how they'll be positioned in the market. If one is significantly less expensive then processing power might not factor in as much, while there are also rumours of a less expensive and less powerful ""Xbox Series S"", as well as a more powerful ""PlayStation 5 Pro"", which could even out the numbers. And in terms of games, which are always the most important factor, we're still yet to see much of a lineup from either side. Tim is the editor of The Age and Sydney Morning Herald technology sections. Copyright © 2020", Tim Biggs ,"April 23, 2020"
5,/technology/video-games/playstation-5-xbox-scarlett-what-we-know-about-the-next-gen-consoles-20191009-p52yzz.html,"PlayStation 5, Xbox Series X: what we know about the next-gen consoles","The global pandemic may have taken quite a lot of wind out of their sails, but right now Microsoft and Sony are both saying they're committed to launching brand new game consoles in 2020. Early details paint a picture of significantly more powerful machines that can launch into the middle of a game in an instant, and work with many of the games you've amassed over the past six years. Specifically, here's what we know so far about the next generation of consoles, and then some speculation on which will end up being the more powerful. The PlayStation 5 DualSense. The PS5 has been confirmed for launch in ""holiday 2020"", but we still haven't seen what the machine looks like. We have, however, had a good look at the controller. Dropping the DualShock moniker Sony has used on and off since 1997, the DualSense looks like quite an ergonomic redesign with longer and more curved handles, but the same linear stick layout. The dual tone colour scheme is also pretty out there as far as standard pads go, which could give some idea as to the look of the system. The triggers have seen the most love in terms of new functionality, with additional haptic feedback motors and tech that allows developers to set the tension. That means the trigger could be easier or firmer to pull back depending on your in-game vehicle, weapon etc. There is also now a microphone and speaker embedded in the pad, so you can have quick chats with other players with no headset required. Finally the buttons and other inputs are largely the same as on the DualShock 4, though the Share button has been renamed ""Create"", indicating there may be more ways to package and broadcast your gameplay than simply posting screenshots or videos to Twitter. The official PS5 logo is very similar to that of the PS4. As for the internals of the machine itself, in March system architect Mark Cerny laid out the nerdy specs while leaving a lot of the more consumer-friendly details to our imaginations. Combined with the few tidbits we learned from earlier exclusive interviews with WIRED, we have a decent overview: Importantly Sony has committed to backwards compatibility, meaning your PS4 games and PSVR headset will work on PS5. However the more details about this that come out, the more questions there are. The PS5's custom GPU has legacy modes for PS4 and PS4 Pro, meaning those games might not be visually improved on the new console but they should work without too much developer tweaking. Yet Sony has stopped short of saying all PS4 games will work, confirming instead that ""most"" of the 100 best-selling titles would work at launch, with more to come. At this point PS3 and older compatibility seems unlikely, barring a cloud processing solution. In December, at The Game Awards, Microsoft gaming boss Phil Spencer unveiled the Xbox Series X; a tall black obelisk that more closely resembles a compact PC tower than a traditional console. The look reflects a change of focus at Xbox which has been taking place since Spencer took over in the middle of the current generation. Xbox is now less a line of machines and more an ecosystem of games you can access from any number of machines — including PCs and various consoles, and soon any device with a screen thanks to the cloud — and in some ways the Series X is merely a more powerful system in the same line as current Xbox devices. For example Microsoft isn't planning to make exclusive games for the Series X in the first year after the console launches; all its new games will work on the existing Xbox One as well. Additionally, every single game you own that works on Xbox One — including Xbox 360 and original Xbox games — should work on Series X and will be able to take advantage of its new tech for better load times, higher resolution, better frame rates and even HDR visuals (applied via an AI software solution). Microsoft has detailed a technology called Smart Delivery, in which games you've bought from the store will download in the appropriate format for your devices. For example if you buy Halo 5 on Xbox One, downloading it on Series X could get you a version totally reworked for that console rather than the Xbox One version, at no extra cost. Microsoft will use this mechanism for all its games, but says other developers may choose to sell separate Xbox One and Xbox Series X versions if they want (though both will work on Series X). As for the internals of the Series X, Spencer has detailed them fairly thoroughly: While Microsoft has said all Xbox One accessories will work on Series X, the console's hardware design would indicate the truth isn't so straightforward. There is no longer an HDMI-in, so if you're one of the few people running your TV set-top box through your console you may be disappointed. The optical audio port has also been ditched, leaving it unclear how headsets which rely on that will work with the Series X. There's also of course no Kinect port, and I'd be very surprised if the Series X will work with Microsoft's ill-fated depth camera/microphone even if you plugged one in with an adapter. All Xbox One controllers will work here, including the recent Elite Series 2, and the newly redesigned controller packaged with the Series X will play friendly with your old Xbox One too. The new controller has seen only slight tweaks in shape, with a new directional pad and share button the only obvious changes. Microsoft is working on improving latency between the controller and screen, and says Xbox One controllers will be able to reap the benefits via a software update. On paper the consoles are very similar, using the same architecture for their chips, packing the same amount of RAM and each with a cutting edge SSD for storage. Comparing the two really comes down to the nitty gritty. Both Sony's CPU and GPU operate a lot like a desktop processor; working at full speed when required and if it isn't getting too hot, and throttling back to cool or when there isn't much going on. The CPU's max frequency is 3.5Ghz. On the Xbox, the CPU will stay at either 3.8Ghz or 3.6Ghz depending on whether the developer has opted to use it in a single- or multi- thread mode. Either way, on paper, it's faster than PS5. On the GPU Sony's silicon packs fewer compute units but a faster frequency than Microsoft's, meaning the Series X again wins on raw power. Even for tasks that might benefit from the PS5's higher clocks, you again need to consider they will dip under high temperatures. A lot will depend on Sony's thermal design. So taking all the numbers at face value, the next-gen Xbox would offer a significant advantage over the next-gen PlayStation, but it's worth taking that conclusion with a grain of salt. For starters there's still a lot about the consoles we don't know, and there's always the X factor of what individual developers will manage to do within the limitations of hardware. The PlayStation 4 Pro is less powerful than the Xbox One X, for example, but it's a moot argument if you're comparing God of War to Crackdown 3. And then looking beyond power to which machine will be more popular, you have to consider how they'll be positioned in the market. If one is significantly less expensive then processing power might not factor in as much, while there are also rumours of a less expensive and less powerful ""Xbox Series S"", as well as a more powerful ""PlayStation 5 Pro"", which could even out the numbers. And in terms of games, which are always the most important factor, we're still yet to see much of a lineup from either side. Tim is the editor of The Age and Sydney Morning Herald technology sections. Copyright © 2020", Tim Biggs ,"April 23, 2020"
6,/technology/lg-s-latest-connected-white-goods-are-smart-but-not-too-smart-20200420-p54lcn.html,"LG's latest connected white goods are smart, but not too smart","Remember a few years back when we first heard of the ""internet refrigerator"" and mocked it mercilessly? Well, in the 20 years since LG introduced the first smart fridge, tech companies have worked out what people actually want from smart products, beyond ""it connects to the internet, I guess"". To see what kinds of advancements have been made, and because my old dishwasher was an agent of chaos, I decked my apartment out with new smart appliances and discovered that it's the little things that make the most difference. The appliances I got were the $1749 LG XD3A25BS dishwasher and the $1439 WV9-1409W TwinWash washing machine. Neither of them have particularly flashy smart features: they don’t have TVs or anything like that. But their features are ones I have actually used, unlike the smart lights whose colours I never change. Tech companies have worked out what people actually want from smart products. Even without the smart features, this is a ridiculously good and intelligent washing machine. It’s got a big 9kg washer on top and a small 2kg washing drawer on the bottom for delicates, sportswear, or when you just really need to clean one particular outfit. With the smart features I can download new cycles; as I did to wash a blanket or a load of jeans. (It would be nice if brands could start making custom cycles that are particularly suited to their unusual fabrics, but presumably that feature could be added at any time.) Back in the before, when we could go out and do things, the remote start feature let me tell it to begin washing once I knew what time I’d get home. It’s also the little things, like getting the notification to my phoneasking whether I would like to add fabric softener (I would not, but appreciate being asked). The notification that the wash is done is particularly useful, because it stays on the lock screen until I address it, which means my clothes haven’t been left to go mouldy recently. The dishwasher is also amazing. Not just because it isn't operated by a dial of mystery like my old Smeg — 100 notches all the way around, but only one will clean the dishes, and there is no way to know which — it’s amazing because of its intelligent steaming function and movable top shelf. It’s also ridiculously quiet, to the point that I’m never 100 per cent sure it’s on, but the dishes come out clean anyway. The connected features on this are also fairly basic. I get a notification that the cycle is done, can remote start it, download new cycles, change the settings, be reminded when it needs to be cleaned or have more rinse aid, and diagnose any potential problems with it by holding my phone close. For most people, and most brands, it’s still the internet fridge that is the pinnacle of smart whitegoods. But those fridges only come in two sizes — stupidly large, and massive — and thus don't suit anyone with a family smaller than five. And, be honest, how often would you actually remember to check the camera inside your fridge? Would you rather watch that YouTube video on your fridge, which is usually in the corner of the kitchen, or on an iPad near where you’re actually cooking? For me, when it comes to smart home, it’s better to focus on the features that will actually be useful, rather than those that are needlessly flashy and jack the price up considerably. My time with these whitegoods has shown me that it’s the quiet, useful intelligence that really matters. Alice is a freelance journalist, producer and presenter. Copyright © 2020", Alice Clarke ,"April 22, 2020"
7,/technology/lg-s-latest-connected-white-goods-are-smart-but-not-too-smart-20200420-p54lcn.html,"LG's latest connected white goods are smart, but not too smart","Remember a few years back when we first heard of the ""internet refrigerator"" and mocked it mercilessly? Well, in the 20 years since LG introduced the first smart fridge, tech companies have worked out what people actually want from smart products, beyond ""it connects to the internet, I guess"". To see what kinds of advancements have been made, and because my old dishwasher was an agent of chaos, I decked my apartment out with new smart appliances and discovered that it's the little things that make the most difference. The appliances I got were the $1749 LG XD3A25BS dishwasher and the $1439 WV9-1409W TwinWash washing machine. Neither of them have particularly flashy smart features: they don’t have TVs or anything like that. But their features are ones I have actually used, unlike the smart lights whose colours I never change. Tech companies have worked out what people actually want from smart products. Even without the smart features, this is a ridiculously good and intelligent washing machine. It’s got a big 9kg washer on top and a small 2kg washing drawer on the bottom for delicates, sportswear, or when you just really need to clean one particular outfit. With the smart features I can download new cycles; as I did to wash a blanket or a load of jeans. (It would be nice if brands could start making custom cycles that are particularly suited to their unusual fabrics, but presumably that feature could be added at any time.) Back in the before, when we could go out and do things, the remote start feature let me tell it to begin washing once I knew what time I’d get home. It’s also the little things, like getting the notification to my phoneasking whether I would like to add fabric softener (I would not, but appreciate being asked). The notification that the wash is done is particularly useful, because it stays on the lock screen until I address it, which means my clothes haven’t been left to go mouldy recently. The dishwasher is also amazing. Not just because it isn't operated by a dial of mystery like my old Smeg — 100 notches all the way around, but only one will clean the dishes, and there is no way to know which — it’s amazing because of its intelligent steaming function and movable top shelf. It’s also ridiculously quiet, to the point that I’m never 100 per cent sure it’s on, but the dishes come out clean anyway. The connected features on this are also fairly basic. I get a notification that the cycle is done, can remote start it, download new cycles, change the settings, be reminded when it needs to be cleaned or have more rinse aid, and diagnose any potential problems with it by holding my phone close. For most people, and most brands, it’s still the internet fridge that is the pinnacle of smart whitegoods. But those fridges only come in two sizes — stupidly large, and massive — and thus don't suit anyone with a family smaller than five. And, be honest, how often would you actually remember to check the camera inside your fridge? Would you rather watch that YouTube video on your fridge, which is usually in the corner of the kitchen, or on an iPad near where you’re actually cooking? For me, when it comes to smart home, it’s better to focus on the features that will actually be useful, rather than those that are needlessly flashy and jack the price up considerably. My time with these whitegoods has shown me that it’s the quiet, useful intelligence that really matters. Alice is a freelance journalist, producer and presenter. Copyright © 2020", Alice Clarke ,"April 22, 2020"
8,/technology/stay-healthy-at-home-with-a-family-friendly-survival-of-the-fittest-20200420-p54lbh.html,Stay healthy at home with a family friendly survival of the fittest,"Buying FitBits for my family when we're stuck at home might sound crazy, but in the end it took a little healthy competition to get us all off the couch. A FitBit and a bit of encouragement can help inform healthy habits.Credit:Adam Turner Having worked from home for 15 years, I appreciate the importance of going for a walk every day; either along the creek near my house or, when the weather turns sour, on the treadmill. If I don't walk my back plays up, but walking is good for both body and mind. I've tested FitBits before but never really felt they were for me. Of course now my teenage kids are studying from home I'm ""encouraging"" — by which I mean pestering — them to develop healthy habits. To be honest we're not a sporty family at the best of times, and it can be a struggle to get everyone out of the house. When I first suggested we all get FitBit watches, I expected my family to put up a fight but thankfully they saw the wisdom in it. My wife and I opted for the first-gen FitBit Versa while the kids went for the more ostentatious FitBit Ionic. They're not the latest and greatest FitBit models, but we got them at a good price and they're more than enough to meet our needs. So far it's worked even better than I'd hoped. It's been much easier to get the kids outside for a walk. If they miss my lunchtime walk, they're voluntarily jumping on the treadmill in the evening – something I never thought I'd see. They're also burning off energy with a good cardio session playing Just Dance on the Wii. It turns out the trick for my family is turning it into a competition – unlocking achievement badges and becoming FitBit buddies so we can see each other's steps. I'd say it's less about beating everyone else and more about feeling that you're responsible to someone so you don't want to let down the team. Now we're now stuck at home we're actually exercising more than ever, developing good habits which hopefully will help keep us fit once we're free to leave the house whenever we want. Adam Turner is an award-winning Australian technology journalist and co-host of weekly podcast Vertical Hold: Behind The Tech News. Copyright © 2020", Adam Turner ,"April 21, 2020"
9,/technology/stay-healthy-at-home-with-a-family-friendly-survival-of-the-fittest-20200420-p54lbh.html,Stay healthy at home with a family friendly survival of the fittest,"Buying FitBits for my family when we're stuck at home might sound crazy, but in the end it took a little healthy competition to get us all off the couch. A FitBit and a bit of encouragement can help inform healthy habits.Credit:Adam Turner Having worked from home for 15 years, I appreciate the importance of going for a walk every day; either along the creek near my house or, when the weather turns sour, on the treadmill. If I don't walk my back plays up, but walking is good for both body and mind. I've tested FitBits before but never really felt they were for me. Of course now my teenage kids are studying from home I'm ""encouraging"" — by which I mean pestering — them to develop healthy habits. To be honest we're not a sporty family at the best of times, and it can be a struggle to get everyone out of the house. When I first suggested we all get FitBit watches, I expected my family to put up a fight but thankfully they saw the wisdom in it. My wife and I opted for the first-gen FitBit Versa while the kids went for the more ostentatious FitBit Ionic. They're not the latest and greatest FitBit models, but we got them at a good price and they're more than enough to meet our needs. So far it's worked even better than I'd hoped. It's been much easier to get the kids outside for a walk. If they miss my lunchtime walk, they're voluntarily jumping on the treadmill in the evening – something I never thought I'd see. They're also burning off energy with a good cardio session playing Just Dance on the Wii. It turns out the trick for my family is turning it into a competition – unlocking achievement badges and becoming FitBit buddies so we can see each other's steps. I'd say it's less about beating everyone else and more about feeling that you're responsible to someone so you don't want to let down the team. Now we're now stuck at home we're actually exercising more than ever, developing good habits which hopefully will help keep us fit once we're free to leave the house whenever we want. Adam Turner is an award-winning Australian technology journalist and co-host of weekly podcast Vertical Hold: Behind The Tech News. Copyright © 2020", Adam Turner ,"April 21, 2020"
